tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2005-416,Rome Masters,Clay,64,M,20050502,49,104269,0,,Fernando Verdasco,L,188,ESP,21.46201232,56,685,104053,1,,Andy Roddick,R,188,USA,22.67214237,3,3515,6-7(1) 7-6(3) 6-4,3,R16,154,13,2,118,88,67,11,17,11,14,12,0,121,87,61,13,17,9,13
2005-414,Hamburg Masters,Clay,64,M,20050509,32,103454,0,,Nicolas Massu,R,183,CHI,25.5797399,25,1175,104053,2,,Andy Roddick,R,188,USA,22.69130732,3,3585,7-6(4) 4-6 7-5,3,R64,178,8,1,113,73,46,24,17,5,9,19,3,115,75,53,18,17,7,11
2005-419,Indianapolis,Hard,48,A,20050718,41,104068,0,,Robby Ginepri,R,183,USA,22.77891855,98,415,104053,1,,Andy Roddick,R,188,USA,22.88295688,4,3590,4-6 7-6(2) 7-5,3,QF,123,12,5,112,67,53,23,17,9,11,16,8,100,57,53,16,17,5,7
2005-1536,Madrid Masters,Hard,48,M,20051017,32,103333,0,Q,Ivo Karlovic,R,208,CRO,26.63381246,86,470,104053,2,,Andy Roddick,R,188,USA,23.1321013,3,3115,3-6 7-6(7) 7-6(3),3,R32,126,17,1,96,62,52,24,16,2,3,14,5,108,69,58,24,17,2,2
2005-520,Roland Garros,Clay,128,G,20050523,96,104076,0,,Jose Acasuso,R,190,ARG,22.59000684,62,631,104053,2,,Andy Roddick,R,188,USA,22.72963723,3,3590,3-6 4-6 6-4 6-3 8-6,5,R64,201,20,9,149,77,63,39,26,7,10,13,5,150,97,77,22,26,3,7
2005-580,Australian Open,Hard,128,G,20050117,126,103720,3,,Lleyton Hewitt,R,180,AUS,23.89596167,3,3590,104053,2,,Andy Roddick,R,188,USA,22.38466804,2,3655,3-6 7-6(3) 7-6(4) 6-1,5,SF,174,14,7,135,84,70,24,20,6,8,31,9,134,75,61,25,20,9,12
2005-352,Paris Masters,Carpet,48,M,20051031,45,103344,6,,Ivan Ljubicic,R,193,CRO,26.6201232,10,1765,104053,1,,Andy Roddick,R,188,USA,23.17043121,3,3235,6-3 7-5,3,SF,65,15,1,50,29,26,18,11,0,0,10,1,58,36,28,10,10,3,5
2005-422,Cincinnati Masters,Hard,64,M,20050815,63,103819,1,,Roger Federer,R,185,SUI,24.01916496,1,6500,104053,5,,Andy Roddick,R,188,USA,22.9596167,5,3130,6-3 7-5,3,F,75,5,1,50,32,28,10,10,1,2,11,1,59,33,24,12,11,2,6
2005-421,Canada Masters,Hard,64,M,20050808,9,103908,0,,Paul Henri Mathieu,R,185,FRA,23.57015743,63,598,104053,3,,Andy Roddick,R,188,USA,22.94045175,5,3175,7-5 6-3,3,R64,80,14,2,59,32,27,18,11,2,3,3,1,50,27,22,11,10,0,3
2005-540,Wimbledon,Grass,128,G,20050620,127,103819,1,,Roger Federer,R,185,SUI,23.86584531,1,6980,104053,2,,Andy Roddick,R,188,USA,22.80629706,4,3590,6-2 7-6(2) 6-4,5,F,101,12,0,79,49,40,22,15,1,2,7,1,96,68,46,11,15,5,9
2005-403,Miami Masters,Hard,96,M,20050321,64,104269,0,,Fernando Verdasco,L,188,ESP,21.34702259,45,813,104053,2,,Andy Roddick,R,188,USA,22.55715264,3,3955,7-6(9) 4-3 RET,3,R64,76,8,2,60,44,34,10,10,1,2,10,5,59,40,33,7,9,1,2
2005-404,Indian Wells Masters,Hard,96,M,20050307,94,103720,2,,Lleyton Hewitt,R,180,AUS,24.03011636,2,3990,104053,3,,Andy Roddick,R,188,USA,22.51882272,3,3855,7-6(2) 6-7(3) 7-6(4),3,SF,153,10,0,116,64,51,33,18,6,7,25,1,123,74,61,23,18,8,9
2005-560,US Open,Hard,128,G,20050829,48,104180,0,,Gilles Muller,L,193,LUX,22.30800821,68,531,104053,4,,Andy Roddick,R,188,USA,22.99794661,3,3370,7-6(4) 7-6(8) 7-6(1),5,R128,125,24,3,112,65,55,31,18,0,1,16,0,105,76,61,19,18,5,6
2005-D008,Davis Cup WG R1: USA vs CRO,Hard,4,D,20050304,3,103344,0,,Ivan Ljubicic,R,193,CRO,25.94934976,14,1575,104053,0,,Andy Roddick,R,188,USA,22.49965777,3,3855,4-6 6-3 7-6(11) 6-7(7) 6-2,5,RR,239,19,2,176,101,77,42,26,7,9,19,3,163,110,85,26,24,4,8
