tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2006-403,Miami Masters,Hard,96,M,20060320,41,104053,4,0,Andy Roddick,R,188,USA,23.55373032,4,2535,103252,0,,Alberto Martin,R,175,ESP,27.58110883,60,687,6-3 6-1,3,R64,56,10,0,42,28,26,7,8,0,0,0,3,50,30,15,10,8,3,7
2006-403,Miami Masters,Hard,96,M,20060320,69,104053,4,0,Andy Roddick,R,188,USA,23.55373032,4,2535,104269,31,,Fernando Verdasco,L,188,ESP,22.34360027,32,930,6-3 6-4,3,R32,69,8,1,51,39,32,7,10,2,3,5,3,56,39,28,5,9,4,7
2006-403,Miami Masters,Hard,96,M,20060320,83,104053,4,0,Andy Roddick,R,188,USA,23.55373032,4,2535,103752,0,Q,Simon Greul,R,185,GER,24.93360712,130,318,6-3 3-6 6-2,3,R16,94,9,0,63,43,36,15,13,1,2,4,5,83,48,31,19,13,3,6
2006-402,Memphis,Hard,32,A,20060220,1,104053,1,0,Andy Roddick,R,188,USA,23.4770705,3,2685,103888,0,WC,Mardy Fish,R,188,USA,24.19986311,341,90,6-3 6-7(5) 7-6(2),3,R32,135,12,1,110,76,58,21,17,6,6,18,2,108,52,43,31,16,6,7
2006-402,Memphis,Hard,32,A,20060220,17,104053,1,0,Andy Roddick,R,188,USA,23.4770705,3,2685,101885,0,,Wayne Arthurs,L,190,AUS,34.92950034,91,431,6-7(4) 7-6(9) 7-6(2),3,R16,133,20,2,126,94,75,18,18,2,3,33,5,112,75,63,23,18,1,2
2006-404,Indian Wells Masters,Hard,96,M,20060306,56,104053,3,0,Andy Roddick,R,188,USA,23.51540041,3,2685,104076,0,,Jose Acasuso,R,190,ARG,23.37577002,36,888,7-6(5) 6-0,3,R64,76,8,1,51,30,28,11,9,0,1,2,2,55,27,16,14,9,0,4
2006-404,Indian Wells Masters,Hard,96,M,20060306,76,104053,3,0,Andy Roddick,R,188,USA,23.51540041,3,2685,104269,32,,Fernando Verdasco,L,188,ESP,22.30527036,34,915,6-3 6-4,3,R32,73,4,2,55,37,31,11,10,1,1,3,2,60,46,28,9,9,5,7
2006-540,Wimbledon,Grass,128,G,20060626,48,104053,3,0,Andy Roddick,R,188,USA,23.8220397,5,2430,104386,0,,Janko Tipsarevic,R,180,SRB,22.00958248,101,427,6-7(5) 6-4 7-6(6) 6-2,5,R128,173,28,2,151,98,75,30,21,9,9,12,3,118,58,39,44,21,1,4
2006-540,Wimbledon,Grass,128,G,20060626,88,104053,3,0,Andy Roddick,R,188,USA,23.8220397,5,2430,104252,0,,Florian Mayer,R,190,GER,22.72416153,63,618,6-4 6-1 6-2,5,R64,69,12,0,64,45,39,13,13,0,0,6,0,68,49,30,8,12,2,7
2006-717,Houston,Clay,32,A,20060410,1,104053,1,0,Andy Roddick,R,188,USA,23.61122519,4,2655,104154,0,,Paul Capdeville,R,190,CHI,23.02258727,104,399,6-3 6-2,3,R32,59,3,0,46,30,21,13,9,0,1,1,2,53,33,20,6,8,4,8
