tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2008-375,Lyon,Carpet,32,A,20081020,25,104417,7,0,Robin Soderling,R,193,SWE,24.183436,27,1115,104053,1,,Andy Roddick,R,188,USA,26.14099932,7,2045,7-6(5) 7-6(5),3,QF,84,20,6,74,45,40,18,12,1,1,22,2,81,58,46,13,12,4,4
2008-1536,Madrid Masters,Hard,48,M,20081012,37,104792,0,0,Gael Monfils,R,193,FRA,22.11635866,18,1283,104053,8,,Andy Roddick,R,188,USA,26.12183436,8,1970,6-4 3-6 6-3,3,R16,100,7,1,86,52,38,21,14,7,8,13,3,79,49,41,15,14,1,3
2008-540,Wimbledon,Grass,128,G,20080623,81,104386,0,0,Janko Tipsarevic,R,180,SRB,24.00273785,40,858,104053,6,,Andy Roddick,R,188,USA,25.81519507,6,2280,6-7(5) 7-5 6-4 7-6(4),5,R64,187,14,3,162,91,71,44,23,8,8,27,4,128,91,78,19,23,0,2
2008-423,Los Angeles,Hard,28,A,20080804,27,105223,3,0,Juan Martin Del Potro,R,198,ARG,19.86310746,24,1090,104053,1,,Andy Roddick,R,188,USA,25.9301848,9,1865,6-1 7-6(2),3,F,89,1,1,58,43,36,8,9,0,0,4,2,64,40,28,10,10,1,4
2008-421,Canada Masters,Hard,56,M,20080721,42,105227,0,0,Marin Cilic,R,198,CRO,19.8110883,44,860,104053,6,,Andy Roddick,R,188,USA,25.89185489,6,2065,6-4 4-6 6-4,3,R16,115,7,3,82,41,30,26,15,2,5,13,2,88,61,41,14,15,5,9
2008-311,Queen's Club,Grass,56,A,20080609,53,104745,1,0,Rafael Nadal,L,185,ESP,22.01779603,2,5585,104053,3,,Andy Roddick,R,188,USA,25.77686516,6,2405,7-5 6-4,3,SF,87,7,0,61,45,35,12,11,4,4,14,3,71,46,34,13,11,5,7
2008-418,Washington,Hard,32,A,20080810,25,104678,0,0,Viktor Troicki,R,193,SRB,22.49965777,93,473,104053,1,,Andy Roddick,R,188,USA,25.94934976,9,1860,0-6 6-2 6-4,3,QF,101,11,4,79,47,34,14,12,5,8,13,3,72,44,33,14,12,3,6
2008-416,Rome Masters,Clay,56,M,20080505,54,104527,0,0,Stanislas Wawrinka,R,183,SUI,23.10472279,24,1200,104053,6,,Andy Roddick,R,188,USA,25.68104038,6,2260,3-0 RET,3,SF,29,1,1,12,7,5,3,2,0,0,0,1,5,2,0,0,1,0,1
2008-580,Australian Open,Hard,128,G,20080114,109,104259,29,0,Philipp Kohlschreiber,R,178,GER,24.24640657,27,1075,104053,6,,Andy Roddick,R,188,USA,25.3744011,6,2530,6-4 3-6 7-6(9) 6-7(3) 8-6,5,R32,230,32,2,165,107,91,37,28,8,9,42,3,182,131,109,24,29,9,11
2008-329,Tokyo,Hard,48,A,20080929,46,104607,9,0,Tomas Berdych,R,196,CZE,23.03353867,27,1065,104053,2,,Andy Roddick,R,188,USA,26.08350445,8,1960,6-7(3) 7-5 7-6(3),3,SF,133,17,1,109,63,51,27,18,4,6,25,4,104,76,61,15,18,1,4
2008-352,Paris Masters,Hard,48,M,20081026,43,104542,13,0,Jo Wilfried Tsonga,R,188,FRA,23.52908966,14,1485,104053,7,,Andy Roddick,R,188,USA,26.16016427,7,2045,5-7 6-4 7-6(5),3,QF,166,15,6,144,91,61,25,17,14,17,14,0,99,66,51,17,17,2,5
