tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-311,Queen's Club,Grass,56,A,20120611,32,104273,0,,Edouard Roger Vasselin,R,188,FRA,28.53661875,67,669,104053,7,,Andy Roddick,R,188,USA,29.78234086,32,1190,6-4 4-6 7-5,3,R32,121,13,2,98,63,49,20,16,4,5,22,2,82,65,50,10,16,3,5
2012-424,San Jose,Hard,28,A,20120213,24,104797,0,,Denis Istomin,R,188,UZB,25.43463381,61,767,104053,2,,Andy Roddick,R,188,USA,29.45653662,17,1745,6-2 6-4,3,QF,77,6,0,48,32,25,13,9,1,1,5,0,68,42,28,10,9,6,9
2012-422,Cincinnati Masters,Hard,56,M,20120812,16,104871,0,LL,Jeremy Chardy,R,188,FRA,25.50034223,38,1004,104053,16,,Andy Roddick,R,188,USA,29.95482546,21,1645,7-6(4) 6-3,3,R64,94,7,0,62,32,28,19,10,1,1,7,4,75,46,34,11,11,4,6
2012-499,Delray Beach,Hard,32,A,20120227,26,104731,7,,Kevin Anderson,R,203,RSA,25.77960301,36,1065,104053,4,,Andy Roddick,R,188,USA,29.49486653,30,1290,2-6 7-6(9) 6-4,3,QF,153,11,5,93,44,34,29,15,2,5,8,4,110,72,51,19,15,7,9
2012-402,Memphis,Hard,32,A,20120220,16,103598,0,,Xavier Malisse,R,185,BEL,31.58932238,75,680,104053,2,,Andy Roddick,R,188,USA,29.47570157,27,1290,7-6(8) 7-5,3,R32,108,12,4,83,40,34,24,12,6,7,6,1,77,51,38,12,12,3,5
2012-540,Wimbledon,Grass,128,G,20120625,105,103970,7,,David Ferrer,R,175,ESP,30.23134839,5,5250,104053,30,,Andy Roddick,R,188,USA,29.82067077,25,1395,2-6 7-6(8) 6-4 6-3,5,R32,158,10,3,113,66,53,29,19,3,6,15,1,118,85,64,17,20,4,8
2012-403,Miami Masters,Hard,96,M,20120321,83,104338,21,,Juan Monaco,R,185,ARG,27.97262149,21,1495,104053,31,,Andy Roddick,R,188,USA,29.5523614,34,1165,7-5 6-0,3,R16,101,2,2,63,46,31,9,9,3,4,2,2,59,36,21,9,9,4,9
2012-520,Roland Garros,Clay,128,G,20120527,20,103917,0,,Nicolas Mahut,R,190,FRA,30.34907598,89,604,104053,26,,Andy Roddick,R,188,USA,29.74401095,33,1180,6-3 6-3 4-6 6-2,5,R128,142,13,4,107,58,41,28,18,7,10,8,4,97,59,41,17,18,0,7
2012-96,London Olympics,Grass,64,A,20120725,48,104925,2,,Novak Djokovic,R,188,SRB,25.17180014,2,11000,104053,0,,Andy Roddick,R,188,USA,29.8973306,22,1600,6-2 6-1,3,R32,54,14,0,43,29,25,8,8,0,0,5,1,40,24,13,7,7,0,4
2012-6242,Winston-Salem,Hard,48,A,20120819,39,104327,0,,Steve Darcis,R,178,BEL,28.43805613,81,630,104053,5,,Andy Roddick,R,188,USA,29.97399042,21,1645,7-6(6) 7-6(3),3,R16,111,5,3,82,50,39,21,12,1,1,8,0,75,53,41,14,12,3,3
2012-580,Australian Open,Hard,128,G,20120116,68,103720,0,WC,Lleyton Hewitt,R,180,AUS,30.89117043,181,265,104053,15,,Andy Roddick,R,188,USA,29.3798768,16,1880,3-6 6-3 6-4 RET,5,R64,132,11,2,78,45,37,17,14,3,5,8,2,91,56,38,19,14,4,7
2012-560,US Open,Hard,128,G,20120827,119,105223,7,,Juan Martin Del Potro,R,198,ARG,23.92607803,8,3620,104053,20,,Andy Roddick,R,188,USA,29.99315537,22,1600,6-7(1) 7-6(4) 6-2 6-4,5,R16,195,15,3,123,88,71,20,21,3,4,20,6,128,81,64,22,21,3,7
2012-404,Indian Wells Masters,Hard,96,M,20120308,68,104607,7,,Tomas Berdych,R,196,CZE,26.46406571,7,3860,104053,30,,Andy Roddick,R,188,USA,29.51403149,31,1210,6-3 4-6 6-2,3,R32,126,7,2,68,42,33,19,13,1,2,8,3,97,64,42,14,14,2,6
2012-615,Dusseldorf,Clay,64,A,20120521,8,104424,0,,Go Soeda,R,178,JPN,27.70704997,60,758,104053,0,,Andy Roddick,R,188,USA,29.724846,29,1225,7-5 7-6(4),3,RR,113,1,3,80,50,32,22,12,1,2,3,2,72,45,34,13,12,2,4
2012-615,Dusseldorf,Clay,64,A,20120521,24,104122,0,,Carlos Berlocq,R,183,ARG,29.29500342,37,1060,104053,0,,Andy Roddick,R,188,USA,29.724846,29,1225,6-2 6-2,3,RR,90,0,3,51,43,31,2,8,3,4,2,4,61,41,25,3,8,6,11
2012-615,Dusseldorf,Clay,64,A,20120521,26,104607,0,,Tomas Berdych,R,196,CZE,26.67488022,7,4500,104053,0,,Andy Roddick,R,188,USA,29.724846,29,1225,6-1 6-2,3,RR,61,12,2,42,23,23,10,8,0,0,0,0,41,18,7,12,7,1,5
