tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2004-422,Cincinnati Masters,Hard,64,M,20040802,62,101736,11,,Andre Agassi,R,180,USA,34.26146475,11,1890,104053,2,,Andy Roddick,R,188,USA,21.9247091,2,5185,7-5 6-7(2) 7-6(2),3,SF,126,16,3,99,65,53,27,18,0,0,30,3,107,67,58,21,18,3,4
2004-421,Canada Masters,Hard,64,M,20040726,63,103819,1,,Roger Federer,R,185,SUI,22.9650924,1,5665,104053,2,,Andy Roddick,R,188,USA,21.90554415,2,4945,7-5 6-3,3,F,85,13,1,65,38,28,19,11,4,4,4,2,72,49,33,11,10,7,9
2004-451,Doha,Hard,32,A,20040105,17,102035,0,,Jonas Bjorkman,R,183,SWE,31.78644764,30,0,104053,1,,Andy Roddick,R,188,USA,21.34976044,1,0,6-3 6-4,3,R16,70,8,3,55,28,24,17,10,1,1,6,2,59,33,23,13,9,3,5
2004-1720,Bangkok,Hard,32,A,20040927,31,103819,1,,Roger Federer,R,185,SUI,23.137577,1,6760,104053,2,,Andy Roddick,R,188,USA,22.07802875,2,3770,6-4 6-0,3,F,57,11,2,52,32,23,13,8,2,2,8,2,57,40,23,6,8,4,8
2004-416,Rome Masters,Clay,64,M,20040503,32,103084,0,,Guillermo Canas,R,185,ARG,26.4366872,80,504,104053,2,,Andy Roddick,R,188,USA,21.67556468,2,4795,7-6(7) 6-1,3,R64,82,5,5,78,44,34,19,10,6,7,4,2,57,28,21,16,9,6,9
2004-560,US Open,Hard,128,G,20040830,124,104026,28,,Joachim Johansson,R,198,SWE,22.16563997,30,1024,104053,2,,Andy Roddick,R,188,USA,22.00136893,2,4520,6-4 6-4 3-6 2-6 6-4,5,QF,173,30,6,162,99,74,27,23,12,15,34,5,118,75,64,27,24,2,5
2004-96,Athens Olympics,Hard,64,A,20040816,56,103602,16,,Fernando Gonzalez,R,183,CHI,24.04928131,21,1220,104053,2,,Andy Roddick,R,188,USA,21.96303901,2,4520,6-4 6-4,3,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-520,Roland Garros,Clay,128,G,20040524,96,103133,0,,Olivier Mutis,R,175,FRA,26.30527036,125,321,104053,2,,Andy Roddick,R,188,USA,21.73305955,2,4665,3-6 6-3 6-7(5) 6-3 6-2,5,R64,191,10,1,163,99,64,32,24,8,14,15,6,148,78,52,32,23,10,19
2004-717,Houston,Clay,32,A,20040412,31,103163,0,,Tommy Haas,R,188,GER,26.02600958,349,90,104053,1,,Andy Roddick,R,188,USA,21.61806982,2,4800,6-3 6-4,3,F,71,3,3,56,35,28,14,10,3,3,6,1,53,35,21,12,9,2,4
2004-580,Australian Open,Hard,128,G,20040119,121,103498,0,,Marat Safin,R,193,RUS,23.97809719,86,430,104053,1,,Andy Roddick,R,188,USA,21.38809035,1,4535,2-6 6-3 7-5 6-7(0) 6-4,5,QF,203,19,6,152,82,61,39,25,4,7,18,2,150,95,71,31,26,9,14
