"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"2004-520","Roland Garros","Clay",128,"G",20040524,96,103133,0,"","Olivier Mutis","R",175,"FRA",26.30527036,125,321,104053,2,"","Andy Roddick","R",188,"USA",21.73305955,2,4665,"3-6 6-3 6-7(5) 6-3 6-2",5,"R64",191,10,1,163,99,64,32,24,8,14,15,6,148,78,52,32,23,10,19,"Brad Gilbert",0.53,0.67,0.61,15,6,19
"2004-540","Wimbledon","Grass",128,"G",20040621,127,103819,1,"","Roger Federer","R",185,"SUI",22.86926762,1,5610,104053,2,"","Andy Roddick","R",188,"USA",21.80971937,2,4695,"4-6 7-5 7-6(3) 6-4",5,"F",151,12,3,154,95,64,34,22,10,14,11,5,133,81,60,21,22,5,10,"Brad Gilbert",0.61,0.74,0.77,11,5,10
"2004-421","Canada Masters","Hard",64,"M",20040726,63,103819,1,"","Roger Federer","R",185,"SUI",22.9650924,1,5665,104053,2,"","Andy Roddick","R",188,"USA",21.90554415,2,4945,"7-5 6-3",3,"F",85,13,1,65,38,28,19,11,4,4,4,2,72,49,33,11,10,7,9,"Brad Gilbert",0.68,0.67,0.8,4,2,9
"2004-422","Cincinnati Masters","Hard",64,"M",20040802,62,101736,11,"","Andre Agassi","R",180,"USA",34.26146475,11,1890,104053,2,"","Andy Roddick","R",188,"USA",21.9247091,2,5185,"7-5 6-7(2) 7-6(2)",3,"SF",126,16,3,99,65,53,27,18,0,0,30,3,107,67,58,21,18,3,4,"Brad Gilbert",0.63,0.87,0.94,30,3,4
"2004-560","US Open","Hard",128,"G",20040830,124,104026,28,"","Joachim Johansson","R",198,"SWE",22.16563997,30,1024,104053,2,"","Andy Roddick","R",188,"USA",22.00136893,2,4520,"6-4 6-4 3-6 2-6 6-4",5,"QF",173,30,6,162,99,74,27,23,12,15,34,5,118,75,64,27,24,2,5,"Brad Gilbert",0.64,0.85,0.88,34,5,5
"2004-1720","Bangkok","Hard",32,"A",20040927,31,103819,1,"","Roger Federer","R",185,"SUI",23.137577,1,6760,104053,2,"","Andy Roddick","R",188,"USA",22.07802875,2,3770,"6-4 6-0",3,"F",57,11,2,52,32,23,13,8,2,2,8,2,57,40,23,6,8,4,8,"Brad Gilbert",0.7,0.57,0.5,8,2,8
"2004-352","Paris Masters","Carpet",48,"M",20041101,33,103018,0,"Q","Max Mirnyi","R",196,"BLR",27.32375086,71,575,104053,1,"","Andy Roddick","R",188,"USA",22.17385353,2,3555,"7-6(2) 6-2",3,"R16",65,14,1,52,34,30,14,10,0,0,13,1,61,35,25,12,10,1,3,"Brad Gilbert",0.57,0.71,0.8,13,1,3
"2004-605","Masters Cup","Hard",8,"F",20041115,11,103720,0,"","Lleyton Hewitt","R",180,"AUS",23.72347707,3,3190,104053,0,"","Andy Roddick","R",188,"USA",22.21218344,2,3355,"6-3 6-2",3,"SF",58,3,1,45,21,18,19,9,0,0,9,1,44,29,18,6,8,3,6,"Brad Gilbert",0.66,0.62,0.62,9,1,6
"2004-D015","Davis Cup WG F: ESP vs USA","Clay",4,"D",20041203,2,104745,0,"","Rafael Nadal","L",185,"ESP",18.49144422,51,775,104053,0,"","Andy Roddick","R",188,"USA",22.25051335,2,3655,"6-7(6) 6-2 7-6(6) 6-2",5,"F",219,3,3,138,109,74,17,19,4,6,14,8,162,91,59,28,19,11,17,"Brad Gilbert",0.56,0.65,0.68,14,8,17
"2004-D015","Davis Cup WG F: ESP vs USA","Clay",4,"D",20041203,3,102845,0,"","Carlos Moya","R",190,"ESP",28.25735797,5,2520,104053,0,"","Andy Roddick","R",188,"USA",22.25051335,2,3655,"6-2 7-6(1) 7-6(5)",5,"F",149,7,4,112,72,56,21,16,7,8,12,6,115,67,51,23,16,3,6,"Brad Gilbert",0.58,0.76,0.81,12,6,6
"2005-580","Australian Open","Hard",128,"G",20050117,126,103720,3,"","Lleyton Hewitt","R",180,"AUS",23.89596167,3,3590,104053,2,"","Andy Roddick","R",188,"USA",22.38466804,2,3655,"3-6 7-6(3) 7-6(4) 6-1",5,"SF",174,14,7,135,84,70,24,20,6,8,31,9,134,75,61,25,20,9,12,"Dean Goldfine",0.56,0.81,0.85,31,9,12
"2005-D008","Davis Cup WG R1: USA vs CRO","Hard",4,"D",20050304,3,103344,0,"","Ivan Ljubicic","R",193,"CRO",25.94934976,14,1575,104053,0,"","Andy Roddick","R",188,"USA",22.49965777,3,3855,"4-6 6-3 7-6(11) 6-7(7) 6-2",5,"RR",239,19,2,176,101,77,42,26,7,9,19,3,163,110,85,26,24,4,8,"Dean Goldfine",0.67,0.77,0.83,19,3,8
"2005-404","Indian Wells Masters","Hard",96,"M",20050307,94,103720,2,"","Lleyton Hewitt","R",180,"AUS",24.03011636,2,3990,104053,3,"","Andy Roddick","R",188,"USA",22.51882272,3,3855,"7-6(2) 6-7(3) 7-6(4)",3,"SF",153,10,0,116,64,51,33,18,6,7,25,1,123,74,61,23,18,8,9,"Dean Goldfine",0.6,0.82,0.94,25,1,9
"2005-403","Miami Masters","Hard",96,"M",20050321,64,104269,0,"","Fernando Verdasco","L",188,"ESP",21.34702259,45,813,104053,2,"","Andy Roddick","R",188,"USA",22.55715264,3,3955,"7-6(9) 4-3 RET",3,"R64",76,8,2,60,44,34,10,10,1,2,10,5,59,40,33,7,9,1,2,"Dean Goldfine",0.68,0.82,0.89,10,5,2
"2005-416","Rome Masters","Clay",64,"M",20050502,49,104269,0,"","Fernando Verdasco","L",188,"ESP",21.46201232,56,685,104053,1,"","Andy Roddick","R",188,"USA",22.67214237,3,3515,"6-7(1) 7-6(3) 6-4",3,"R16",154,13,2,118,88,67,11,17,11,14,12,0,121,87,61,13,17,9,13,"Dean Goldfine",0.72,0.7,0.76,12,0,13
"2005-414","Hamburg Masters","Clay",64,"M",20050509,32,103454,0,"","Nicolas Massu","R",183,"CHI",25.5797399,25,1175,104053,2,"","Andy Roddick","R",188,"USA",22.69130732,3,3585,"7-6(4) 4-6 7-5",3,"R64",178,8,1,113,73,46,24,17,5,9,19,3,115,75,53,18,17,7,11,"Dean Goldfine",0.65,0.71,0.76,19,3,11
"2005-520","Roland Garros","Clay",128,"G",20050523,96,104076,0,"","Jose Acasuso","R",190,"ARG",22.59000684,62,631,104053,2,"","Andy Roddick","R",188,"USA",22.72963723,3,3590,"3-6 4-6 6-4 6-3 8-6",5,"R64",201,20,9,149,77,63,39,26,7,10,13,5,150,97,77,22,26,3,7,"Dean Goldfine",0.65,0.79,0.85,13,5,7
"2005-540","Wimbledon","Grass",128,"G",20050620,127,103819,1,"","Roger Federer","R",185,"SUI",23.86584531,1,6980,104053,2,"","Andy Roddick","R",188,"USA",22.80629706,4,3590,"6-2 7-6(2) 6-4",5,"F",101,12,0,79,49,40,22,15,1,2,7,1,96,68,46,11,15,5,9,"Dean Goldfine",0.71,0.68,0.73,7,1,9
"2005-419","Indianapolis","Hard",48,"A",20050718,41,104068,0,"","Robby Ginepri","R",183,"USA",22.77891855,98,415,104053,1,"","Andy Roddick","R",188,"USA",22.88295688,4,3590,"4-6 7-6(2) 7-5",3,"QF",123,12,5,112,67,53,23,17,9,11,16,8,100,57,53,16,17,5,7,"Dean Goldfine",0.57,0.93,0.88,16,8,7
"2005-421","Canada Masters","Hard",64,"M",20050808,9,103908,0,"","Paul Henri Mathieu","R",185,"FRA",23.57015743,63,598,104053,3,"","Andy Roddick","R",188,"USA",22.94045175,5,3175,"7-5 6-3",3,"R64",80,14,2,59,32,27,18,11,2,3,3,1,50,27,22,11,10,0,3,"Dean Goldfine",0.54,0.81,0.7,3,1,3
"2005-422","Cincinnati Masters","Hard",64,"M",20050815,63,103819,1,"","Roger Federer","R",185,"SUI",24.01916496,1,6500,104053,5,"","Andy Roddick","R",188,"USA",22.9596167,5,3130,"6-3 7-5",3,"F",75,5,1,50,32,28,10,10,1,2,11,1,59,33,24,12,11,2,6,"Dean Goldfine",0.56,0.73,0.64,11,1,6
"2005-560","US Open","Hard",128,"G",20050829,48,104180,0,"","Gilles Muller","L",193,"LUX",22.30800821,68,531,104053,4,"","Andy Roddick","R",188,"USA",22.99794661,3,3370,"7-6(4) 7-6(8) 7-6(1)",5,"R128",125,24,3,112,65,55,31,18,0,1,16,0,105,76,61,19,18,5,6,"Dean Goldfine",0.72,0.8,0.94,16,0,6
"2005-1536","Madrid Masters","Hard",48,"M",20051017,32,103333,0,"Q","Ivo Karlovic","R",208,"CRO",26.63381246,86,470,104053,2,"","Andy Roddick","R",188,"USA",23.1321013,3,3115,"3-6 7-6(7) 7-6(3)",3,"R32",126,17,1,96,62,52,24,16,2,3,14,5,108,69,58,24,17,2,2,"Dean Goldfine",0.64,0.84,1,14,5,2
"2005-352","Paris Masters","Carpet",48,"M",20051031,45,103344,6,"","Ivan Ljubicic","R",193,"CRO",26.6201232,10,1765,104053,1,"","Andy Roddick","R",188,"USA",23.17043121,3,3235,"6-3 7-5",3,"SF",65,15,1,50,29,26,18,11,0,0,10,1,58,36,28,10,10,3,5,"Dean Goldfine",0.62,0.78,0.8,10,1,5
"2006-580","Australian Open","Hard",128,"G",20060116,120,104571,0,"","Marcos Baghdatis","R",183,"CYP",20.58316222,54,684,104053,2,"","Andy Roddick","R",188,"USA",23.38124572,3,3085,"6-4 1-6 6-3 6-4",5,"R16",152,16,1,125,60,43,37,18,7,9,15,4,108,65,48,24,18,7,10,"Dean Goldfine",0.6,0.74,0.83,15,4,10
"2006-D007","Davis Cup WG R1: USA vs ROU","Hard",4,"D",20060210,1,102318,0,"","Andrei Pavel","R",183,"ROU",32.02737851,82,485,104053,0,"","Andy Roddick","R",188,"USA",23.43874059,3,2785,"6-7(2) 2-6 7-6(8) 6-2 6-4",5,"RR",223,11,4,176,121,77,29,25,12,17,22,11,176,102,76,28,25,11,17,"John Roddick",0.58,0.75,0.76,22,11,17
"2006-424","San Jose","Hard",32,"A",20060213,29,104918,0,"","Andy Murray","R",190,"GBR",18.75154004,60,593,104053,1,"","Andy Roddick","R",188,"USA",23.45790554,3,2720,"7-5 7-5",3,"SF",69,7,2,76,47,32,18,12,3,4,6,2,67,37,28,14,12,4,7,"John Roddick",0.55,0.76,0.75,6,2,7
"2006-402","Memphis","Hard",32,"A",20060220,25,103898,0,"Q","Julien Benneteau","R",185,"FRA",24.16974675,122,340,104053,1,"","Andy Roddick","R",188,"USA",23.4770705,3,2685,"3-6 6-4 7-6(4)",3,"QF",133,18,4,99,77,56,13,15,7,9,14,3,104,74,52,15,16,7,9,"John Roddick",0.71,0.7,0.88,14,3,9
"2006-404","Indian Wells Masters","Hard",96,"M",20060306,86,104214,24,"","Igor Andreev","R",185,"RUS",22.64476386,26,1255,104053,3,"","Andy Roddick","R",188,"USA",23.51540041,3,2685,"6-4 6-7(5) 6-1",3,"R16",126,7,2,95,64,48,20,15,6,6,4,5,89,51,36,19,14,3,6,"John Roddick",0.57,0.71,0.79,4,5,6
"2006-403","Miami Masters","Hard",96,"M",20060320,90,103970,11,"","David Ferrer","R",175,"ESP",23.96440794,11,1700,104053,4,"","Andy Roddick","R",188,"USA",23.55373032,4,2535,"6-3 4-6 6-4",3,"QF",112,0,1,84,54,40,15,15,2,5,10,2,80,50,39,10,14,4,8,"John Roddick",0.62,0.78,0.71,10,2,8
"2006-717","Houston","Clay",32,"A",20060410,25,103163,5,"","Tommy Haas","R",188,"GER",28.01916496,27,1250,104053,1,"","Andy Roddick","R",188,"USA",23.61122519,4,2655,"6-7(1) 6-4 6-4",3,"QF",131,6,5,105,59,44,24,16,6,8,11,3,92,59,43,15,16,5,9,"John Roddick",0.64,0.73,0.75,11,3,9
"2006-416","Rome Masters","Clay",64,"M",20060508,59,104792,0,"","Gael Monfils","R",193,"FRA",19.68240931,35,904,104053,5,"","Andy Roddick","R",188,"USA",23.68788501,5,2515,"6-2 6-3",3,"QF",71,4,5,49,31,22,9,8,5,7,2,1,57,35,18,8,9,5,11,"John Roddick",0.61,0.51,0.33,2,1,11
"2006-615","Dusseldorf","Clay",32,"A",20060522,16,103454,35,"","Nicolas Massu","R",183,"CHI",26.3,35,860,104053,5,"","Andy Roddick","R",188,"USA",23.74537988,5,2585,"4-2 RET",3,"RR",33,1,0,16,12,10,2,3,0,0,1,0,20,9,5,7,3,2,3,"John Roddick",0.45,0.56,0.67,1,0,3
"2006-520","Roland Garros","Clay",128,"G",20060529,33,103252,0,"","Alberto Martin","R",175,"ESP",27.77275838,68,589,104053,5,"","Andy Roddick","R",188,"USA",23.74537988,5,2585,"6-4 7-5 1-0 RET",5,"R128",101,4,0,60,39,32,13,11,1,2,7,3,76,41,31,11,12,5,9,"John Roddick",0.54,0.76,0.67,7,3,9
"2006-311","Queen's Club","Grass",56,"A",20060612,54,103484,5,"","James Blake","R",185,"USA",26.45585216,7,1945,104053,3,"","Andy Roddick","R",188,"USA",23.78370979,5,2380,"7-5 6-4",3,"SF",74,8,3,65,41,28,16,11,3,4,9,1,75,58,39,5,11,3,6,"John Roddick",0.77,0.67,0.73,9,1,6
"2006-540","Wimbledon","Grass",128,"G",20060626,108,104918,0,"","Andy Murray","R",190,"GBR",19.1156742,44,826,104053,3,"","Andy Roddick","R",188,"USA",23.8220397,5,2430,"7-6(4) 6-4 6-4",5,"R32",151,6,1,115,61,45,34,16,11,12,21,3,113,78,57,14,16,9,12,"John Roddick",0.69,0.73,0.81,21,3,12
"2006-419","Indianapolis","Hard",48,"A",20060717,47,103484,1,"","James Blake","R",185,"USA",26.55167693,6,2155,104053,2,"","Andy Roddick","R",188,"USA",23.87953457,11,1805,"4-6 6-4 7-6(5)",3,"F",123,15,9,126,71,57,23,16,10,12,18,3,93,69,51,16,16,4,6,"John Roddick",0.74,0.74,0.88,18,3,6
"2006-560","US Open","Hard",128,"G",20060828,127,103819,1,"","Roger Federer","R",185,"SUI",25.05407255,1,7295,104053,9,"","Andy Roddick","R",188,"USA",23.9945243,10,1890,"6-2 4-6 7-5 6-1",5,"F",145,17,0,103,63,53,20,19,6,8,7,1,122,80,53,16,18,10,16,"Jimmy Connors",0.66,0.66,0.67,7,1,16
"2006-D014","Davis Cup WG SF: RUS vs USA","Clay",4,"D",20060922,1,103498,0,"","Marat Safin","R",193,"RUS",26.64202601,72,550,104053,0,"","Andy Roddick","R",188,"USA",24.05201917,6,2585,"6-4 6-3 7-6(5)",5,"SF",288,22,2,212,148,109,34,36,9,14,33,8,200,96,78,65,36,1,5,"Jimmy Connors",0.48,0.81,0.89,33,8,5
"2006-D014","Davis Cup WG SF: RUS vs USA","Clay",4,"D",20060922,3,104098,0,"","Dmitry Tursunov","R",185,"RUS",23.76728268,22,1165,104053,0,"","Andy Roddick","R",188,"USA",24.05201917,6,2585,"6-3 6-4 5-7 3-6 17-15",5,"SF",130,17,2,90,50,41,25,15,3,4,6,3,99,53,41,22,16,4,8,"Jimmy Connors",0.54,0.77,0.75,6,3,8
"2006-337","Vienna","Hard",32,"A",20061009,30,103602,5,"","Fernando Gonzalez","R",183,"CHI",26.19575633,10,1850,104053,3,"","Andy Roddick","R",188,"USA",24.10951403,6,2585,"6-4 3-6 7-6(5)",3,"SF",127,9,3,90,63,51,15,15,0,1,12,0,111,76,50,25,16,4,5,"Jimmy Connors",0.68,0.66,0.94,12,0,5
"2006-1536","Madrid Masters","Hard",48,"M",20061016,39,104607,11,"","Tomas Berdych","R",196,"CZE",21.07871321,11,1860,104053,6,"","Andy Roddick","R",188,"USA",24.12867899,6,2635,"7-6(7) 6-3",3,"R16",81,23,2,65,46,41,11,11,0,0,12,4,63,44,36,11,10,3,4,"Jimmy Connors",0.7,0.82,0.9,12,4,4
"2006-605","Masters Cup","Hard",8,"F",20061113,2,103819,0,"","Roger Federer","R",185,"SUI",25.26488706,1,7620,104053,0,"","Andy Roddick","R",188,"USA",24.20533881,5,2315,"4-6 7-6(8) 6-4",3,"RR",149,12,4,107,64,50,25,16,3,4,12,1,108,68,55,19,16,6,7,"Jimmy Connors",0.63,0.81,0.94,12,1,7
"2006-605","Masters Cup","Hard",8,"F",20061113,7,103900,0,"","David Nalbandian","R",180,"ARG",24.86516085,7,2195,104053,0,"","Andy Roddick","R",188,"USA",24.20533881,5,2315,"6-2 7-6(4)",3,"RR",98,2,6,71,41,31,18,10,4,5,18,1,69,52,36,5,10,5,8,"Jimmy Connors",0.75,0.69,0.7,18,1,8
"2007-580","Australian Open","Hard",128,"G",20070115,125,103819,1,"","Roger Federer","R",185,"SUI",25.43737166,1,8120,104053,6,"","Andy Roddick","R",188,"USA",24.37782341,7,2415,"6-4 6-0 6-2",5,"SF",83,10,2,63,32,26,21,12,0,1,4,2,65,41,22,7,12,0,7,"Jimmy Connors",0.63,0.54,0.42,4,2,7
"2007-424","San Jose","Hard",32,"A",20070212,29,104918,3,"","Andy Murray","R",190,"GBR",19.74811773,13,1650,104053,1,"","Andy Roddick","R",188,"USA",24.45448323,4,2715,"7-6(8) 6-4",3,"SF",93,14,2,74,37,33,16,11,5,6,9,3,70,49,40,5,11,2,4,"Jimmy Connors",0.7,0.82,0.82,9,3,4
"2007-402","Memphis","Hard",32,"A",20070219,31,103163,2,"","Tommy Haas","R",188,"GER",28.88158795,9,2020,104053,1,"","Andy Roddick","R",188,"USA",24.47364819,4,2715,"6-3 6-2",3,"F",62,8,2,43,25,24,12,9,0,0,7,2,53,27,20,10,8,5,8,"Jimmy Connors",0.51,0.74,0.62,7,2,8
"2007-404","Indian Wells Masters","Hard",96,"M",20070305,94,104745,2,"","Rafael Nadal","L",185,"ESP",20.75290897,2,4480,104053,3,"","Andy Roddick","R",188,"USA",24.5119781,3,2830,"6-4 6-3",3,"SF",74,6,1,45,38,31,5,9,0,0,16,2,65,38,28,11,10,7,10,"Jimmy Connors",0.58,0.74,0.7,16,2,10
"2007-403","Miami Masters","Hard",96,"M",20070319,91,104918,12,"","Andy Murray","R",190,"GBR",19.84394251,12,1905,104053,3,"","Andy Roddick","R",188,"USA",24.55030801,3,2980,"5-3 RET",3,"QF",36,2,1,22,14,11,5,4,0,0,2,1,24,13,11,5,4,3,4,"Jimmy Connors",0.54,0.85,0.75,2,1,4
"2007-416","Rome Masters","Clay",56,"M",20070507,43,103428,0,"","Juan Ignacio Chela","R",190,"ARG",27.68514716,23,1125,104053,3,"","Andy Roddick","R",188,"USA",24.6844627,3,2980,"6-0 6-4",3,"R16",70,3,1,43,27,21,12,8,3,3,2,1,52,26,16,12,8,4,8,"Jimmy Connors",0.5,0.62,0.5,2,1,8
"2007-306","Poertschach","Clay",32,"A",20070520,28,104792,0,"WC","Gael Monfils","R",193,"FRA",20.71731691,75,537,104053,2,"","Andy Roddick","R",188,"USA",24.72279261,3,2930,"7-5 6-3",3,"QF",164,7,4,68,31,25,21,11,5,6,0,3,55,25,18,17,10,1,4,"Jimmy Connors",0.45,0.72,0.7,0,3,4
"2007-520","Roland Garros","Clay",128,"G",20070528,48,104214,0,"","Igor Andreev","R",185,"RUS",23.87132101,125,340,104053,3,"","Andy Roddick","R",188,"USA",24.74195756,3,2930,"3-6 6-4 6-3 6-4",5,"R128",163,8,3,120,76,51,29,19,10,12,5,3,126,77,48,27,19,7,11,"Jimmy Connors",0.61,0.62,0.79,5,3,11
"2007-540","Wimbledon","Grass",128,"G",20070625,122,104755,12,"","Richard Gasquet","R",185,"FRA",21.01848049,14,1775,104053,3,"","Andy Roddick","R",188,"USA",24.81861739,3,3055,"4-6 4-6 7-6(2) 7-6(3) 8-6",5,"QF",214,23,4,179,116,90,41,29,7,10,22,4,170,107,86,33,29,4,6,"Jimmy Connors",0.63,0.8,0.93,22,4,6
"2007-419","Indianapolis","Hard",32,"A",20070723,29,104433,0,"","Frank Dancevic","R",185,"CAN",22.81998631,109,393,104053,1,"","Andy Roddick","R",188,"USA",24.89527721,5,3130,"6-4 7-6(1)",3,"SF",96,15,1,66,34,26,22,11,5,6,8,5,78,37,26,21,11,3,5,"Jimmy Connors",0.47,0.7,0.82,8,5,5
"2007-421","Canada Masters","Hard",56,"M",20070805,51,104925,3,"","Novak Djokovic","R",188,"SRB",20.20807666,4,3200,104053,5,"","Andy Roddick","R",188,"USA",24.93360712,3,3290,"7-6(4) 6-4",3,"QF",106,13,5,74,47,38,13,11,2,3,5,1,72,48,34,13,11,4,6,"Jimmy Connors",0.67,0.71,0.82,5,1,6
"2007-422","Cincinnati Masters","Hard",56,"M",20070813,46,103970,16,"","David Ferrer","R",175,"ESP",25.36344969,15,1565,104053,3,"","Andy Roddick","R",188,"USA",24.95277207,4,3415,"7-6(4) 6-4",3,"R16",85,9,1,68,47,40,13,11,3,3,9,1,58,36,32,14,11,0,1,"Jimmy Connors",0.62,0.89,0.91,9,1,1
"2007-560","US Open","Hard",128,"G",20070827,121,103819,1,"","Roger Federer","R",185,"SUI",26.05065024,1,7605,104053,5,"","Andy Roddick","R",188,"USA",24.99110198,5,2990,"7-6(5) 7-6(4) 6-2",5,"QF",121,15,0,101,62,50,28,16,1,1,14,0,103,74,57,14,16,2,4,"Jimmy Connors",0.72,0.77,0.88,14,0,4
"2007-375","Lyon","Carpet",32,"A",20071022,1,102148,0,"","Fabrice Santoro","R",178,"FRA",34.86652977,46,719,104053,1,"","Andy Roddick","R",188,"USA",25.14442163,5,2430,"7-6(5) 2-6 6-4",3,"R32",121,11,2,94,56,44,20,15,2,4,17,4,96,64,47,17,15,1,2,"Jimmy Connors",0.67,0.73,0.93,17,4,2
"2007-605","Masters Cup","Hard",8,"F",20071112,8,103970,0,"","David Ferrer","R",175,"ESP",25.61259411,6,2250,104053,0,"","Andy Roddick","R",188,"USA",25.2019165,5,2330,"6-1 6-3",3,"SF",73,3,6,56,36,30,8,8,3,3,4,1,49,30,17,9,8,5,9,"Jimmy Connors",0.61,0.57,0.5,4,1,9
"2007-605","Masters Cup","Hard",8,"F",20071112,12,103819,0,"","Roger Federer","R",185,"SUI",26.26146475,1,6530,104053,0,"","Andy Roddick","R",188,"USA",25.2019165,5,2330,"6-4 6-2",3,"RR",61,7,0,47,39,29,7,9,0,0,7,2,54,34,23,7,9,3,6,"Jimmy Connors",0.63,0.68,0.67,7,2,6
"2008-580","Australian Open","Hard",128,"G",20080114,109,104259,29,"","Philipp Kohlschreiber","R",178,"GER",24.24640657,27,1075,104053,6,"","Andy Roddick","R",188,"USA",25.3744011,6,2530,"6-4 3-6 7-6(9) 6-7(3) 8-6",5,"R32",230,32,2,165,107,91,37,28,8,9,42,3,182,131,109,24,29,9,11,"Jimmy Connors",0.72,0.83,0.93,42,3,11
"2008-402","Memphis","Hard",32,"A",20080225,25,104417,8,"","Robin Soderling","R",193,"SWE",23.53182752,42,770,104053,1,"","Andy Roddick","R",188,"USA",25.48939083,6,2120,"7-6(6) 6-3",3,"QF",86,16,1,55,37,32,14,10,0,0,15,2,90,63,45,11,11,8,10,"Jimmy Connors",0.7,0.71,0.82,15,2,10
"2008-404","Indian Wells Masters","Hard",96,"M",20080313,40,103163,0,"","Tommy Haas","R",188,"GER",29.93566051,36,925,104053,6,"","Andy Roddick","R",188,"USA",25.52772074,6,2380,"6-4 6-4",3,"R64",85,4,0,66,48,34,12,10,2,2,6,2,52,28,22,14,10,0,2,"John Roddick",0.54,0.79,0.8,6,2,2
"2008-403","Miami Masters","Hard",96,"M",20080327,93,103786,4,"","Nikolay Davydenko","R",178,"RUS",26.80903491,4,2710,104053,6,"","Andy Roddick","R",188,"USA",25.56605065,6,2160,"7-6(5) 6-2",3,"SF",89,6,0,52,39,34,5,10,0,1,9,1,74,53,35,8,10,5,8,"John Roddick",0.72,0.66,0.7,9,1,8
"2008-416","Rome Masters","Clay",56,"M",20080505,54,104527,0,"","Stanislas Wawrinka","R",183,"SUI",23.10472279,24,1200,104053,6,"","Andy Roddick","R",188,"USA",25.68104038,6,2260,"3-0 RET",3,"SF",29,1,1,12,7,5,3,2,0,0,0,1,5,2,0,0,1,0,1,"John Roddick",0.4,0,0,0,1,1
"2008-311","Queen's Club","Grass",56,"A",20080609,53,104745,1,"","Rafael Nadal","L",185,"ESP",22.01779603,2,5585,104053,3,"","Andy Roddick","R",188,"USA",25.77686516,6,2405,"7-5 6-4",3,"SF",87,7,0,61,45,35,12,11,4,4,14,3,71,46,34,13,11,5,7,"John Roddick",0.65,0.74,0.82,14,3,7
"2008-540","Wimbledon","Grass",128,"G",20080623,81,104386,0,"","Janko Tipsarevic","R",180,"SRB",24.00273785,40,858,104053,6,"","Andy Roddick","R",188,"USA",25.81519507,6,2280,"6-7(5) 7-5 6-4 7-6(4)",5,"R64",187,14,3,162,91,71,44,23,8,8,27,4,128,91,78,19,23,0,2,"John Roddick",0.71,0.86,0.91,27,4,2
"2008-421","Canada Masters","Hard",56,"M",20080721,42,105227,0,"","Marin Cilic","R",198,"CRO",19.8110883,44,860,104053,6,"","Andy Roddick","R",188,"USA",25.89185489,6,2065,"6-4 4-6 6-4",3,"R16",115,7,3,82,41,30,26,15,2,5,13,2,88,61,41,14,15,5,9,"John Roddick",0.69,0.67,0.73,13,2,9
"2008-423","Los Angeles","Hard",28,"A",20080804,27,105223,3,"","Juan Martin Del Potro","R",198,"ARG",19.86310746,24,1090,104053,1,"","Andy Roddick","R",188,"USA",25.9301848,9,1865,"6-1 7-6(2)",3,"F",89,1,1,58,43,36,8,9,0,0,4,2,64,40,28,10,10,1,4,"John Roddick",0.62,0.7,0.7,4,2,4
"2008-418","Washington","Hard",32,"A",20080810,25,104678,0,"","Viktor Troicki","R",193,"SRB",22.49965777,93,473,104053,1,"","Andy Roddick","R",188,"USA",25.94934976,9,1860,"0-6 6-2 6-4",3,"QF",101,11,4,79,47,34,14,12,5,8,13,3,72,44,33,14,12,3,6,"John Roddick",0.61,0.75,0.75,13,3,6
"2008-560","US Open","Hard",128,"G",20080825,123,104925,3,"","Novak Djokovic","R",188,"SRB",21.26214921,3,5105,104053,8,"","Andy Roddick","R",188,"USA",25.98767967,8,1845,"6-2 6-3 3-6 7-6(5)",5,"QF",154,15,2,108,70,50,27,19,7,10,14,7,116,80,56,17,19,0,5,"John Roddick",0.69,0.7,0.74,14,7,5
"2008-D042","Davis Cup WG SF: ESP vs USA","Clay",4,"D",20080919,2,103970,0,"","David Ferrer","R",175,"ESP",26.45585216,5,2490,104053,0,"","Andy Roddick","R",188,"USA",26.04517454,8,1845,"7-6(5) 2-6 1-6 6-4 8-6",5,"SF",197,10,9,154,82,59,42,26,6,12,23,4,139,87,70,30,25,1,4,"John Roddick",0.63,0.8,0.88,23,4,4
"2008-D042","Davis Cup WG SF: ESP vs USA","Clay",4,"D",20080919,3,104745,0,"","Rafael Nadal","L",185,"ESP",22.28610541,1,7000,104053,0,"","Andy Roddick","R",188,"USA",26.04517454,8,1845,"6-4 6-0 6-4",5,"SF",133,8,1,75,60,47,9,13,7,7,8,4,97,60,33,19,13,9,14,"John Roddick",0.62,0.55,0.62,8,4,14
