"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"2001-422","Cincinnati Masters","Hard",64,"M",20010806,1,102856,1,"","Gustavo Kuerten","R",190,"BRA",24.90349076,1,4305,104053,0,"","Andy Roddick","R",188,"USA",18.93497604,27,1152,"7-6(3) 6-1",3,"R64",77,13,1,61,31,29,17,10,0,0,7,5,64,26,22,17,9,4,6,"Tarik Benhabiles",0.41,0.85,0.78,7,5,6
"2001-560","US Open","Hard",128,"G",20010827,122,103720,4,"","Lleyton Hewitt","R",180,"AUS",20.50376454,4,3145,104053,18,"","Andy Roddick","R",188,"USA",18.99247091,18,1342,"6-7(5) 6-3 6-4 3-6 6-4",5,"QF",220,15,10,164,92,76,36,25,5,6,21,10,160,82,63,44,25,7,10,"Tarik Benhabiles",0.51,0.77,0.88,21,10,10
"2001-336","Hong Kong","Hard",32,"A",20010924,5,102987,0,"","Andre Sa","R",185,"BRA",24.38603696,109,393,104053,4,"","Andy Roddick","R",188,"USA",19.06913073,15,1587,"6-3 4-6 3-3 RET",3,"R32",108,8,7,95,47,36,21,13,5,8,12,4,70,44,36,12,13,3,5,"Tarik Benhabiles",0.63,0.82,0.85,12,4,5
"2001-357","Stuttgart Masters","Hard",48,"M",20011015,35,102358,0,"","Thomas Enqvist","R",190,"SWE",27.59206023,27,1180,104053,14,"","Andy Roddick","R",188,"USA",19.1266256,16,1540,"6-3 6-7(6) 7-6(5)",3,"R16",144,17,6,108,59,42,27,17,1,4,22,5,136,81,54,25,16,11,15,"Tarik Benhabiles",0.6,0.67,0.75,22,5,15
"2001-328","Basel","Carpet",32,"A",20011022,26,103819,4,"","Roger Federer","R",185,"SUI",20.20533881,13,1745,104053,6,"","Andy Roddick","R",188,"USA",19.14579055,16,1610,"3-6 6-3 7-6(5)",3,"QF",101,11,2,84,51,43,18,15,1,3,9,1,93,54,41,22,15,4,6,"Tarik Benhabiles",0.58,0.76,0.87,9,1,6
"2001-352","Paris Masters","Carpet",48,"M",20011029,18,102854,0,"","Sjeng Schalken","R",193,"NED",25.13894593,25,1163,104053,13,"","Andy Roddick","R",188,"USA",19.16495551,16,1662,"4-6 6-3 7-5",3,"R32",100,5,3,98,71,53,16,16,3,4,15,4,78,47,39,18,15,2,4,"Tarik Benhabiles",0.6,0.83,0.87,15,4,4
"2002-338","Sydney","Hard",32,"A",20020107,30,103819,2,"","Roger Federer","R",185,"SUI",20.41615332,13,1745,104053,3,"","Andy Roddick","R",188,"USA",19.35660507,15,1573,"7-6(3) 6-4",3,"SF",81,7,4,70,37,31,19,11,4,5,5,4,80,43,29,20,11,4,6,"Tarik Benhabiles",0.54,0.67,0.82,5,4,6
"2002-580","Australian Open","Hard",128,"G",20020114,76,103344,0,"","Ivan Ljubicic","R",193,"CRO",22.82546201,37,982,104053,13,"","Andy Roddick","R",188,"USA",19.37577002,15,1643,"7-6(11) 3-2 RET",5,"R64",71,7,1,65,42,33,13,9,6,6,7,1,59,32,27,15,8,0,1,"Tarik Benhabiles",0.54,0.84,0.88,7,1,1
"2002-424","San Jose","Hard",32,"A",20020225,30,101736,2,"","Andre Agassi","R",180,"USA",31.8275154,5,2520,104053,3,"","Andy Roddick","R",188,"USA",19.49075975,13,1853,"6-3 6-1",3,"SF",49,10,1,36,25,24,8,8,0,0,9,4,50,26,15,11,8,3,7,"Tarik Benhabiles",0.52,0.58,0.5,9,4,7
"2002-499","Delray Beach","Hard",32,"A",20020304,31,102106,5,"","Davide Sanguinetti","R",188,"ITA",29.52224504,60,614,104053,1,"","Andy Roddick","R",188,"USA",19.50992471,13,1913,"6-4 4-6 6-4",3,"F",112,9,0,91,48,35,29,15,5,6,14,5,89,51,43,17,15,4,6,"Tarik Benhabiles",0.57,0.84,0.87,14,5,6
"2002-403","Miami Masters","Hard",96,"M",20020318,52,103428,0,"","Juan Ignacio Chela","R",190,"ARG",22.54893908,37,1015,104053,10,"","Andy Roddick","R",188,"USA",19.54825462,12,1965,"6-3 2-6 6-4",3,"R64",91,8,3,74,30,25,24,13,0,2,14,2,86,52,36,18,14,2,5,"Tarik Benhabiles",0.6,0.69,0.79,14,2,5
"2002-410","Monte Carlo Masters","Clay",64,"M",20020415,55,103163,5,"","Tommy Haas","R",188,"GER",24.03285421,7,2475,104053,10,"","Andy Roddick","R",188,"USA",19.62491444,13,1845,"6-3 6-2",3,"R16",74,12,4,57,29,25,15,9,4,4,1,2,66,34,21,14,8,7,10,"Tarik Benhabiles",0.52,0.62,0.62,1,2,10
"2002-416","Rome Masters","Clay",64,"M",20020506,61,103163,7,"","Tommy Haas","R",188,"GER",24.09034908,7,2525,104053,13,"","Andy Roddick","R",188,"USA",19.68240931,14,1745,"6-1 7-5",3,"SF",75,10,2,57,33,27,16,10,2,2,4,2,65,42,27,10,9,6,9,"Tarik Benhabiles",0.65,0.64,0.67,4,2,9
"2002-414","Hamburg Masters","Clay",64,"M",20020513,54,102369,0,"Q","Julien Boutter","R",190,"FRA",28.10403833,60,665,104053,13,"","Andy Roddick","R",188,"USA",19.70157426,13,1895,"6-3 7-5",3,"R16",79,9,6,63,33,27,18,11,0,0,5,1,63,34,27,14,10,5,7,"Tarik Benhabiles",0.54,0.79,0.8,5,1,7
"2002-615","Dusseldorf","Clay",64,"A",20020520,1,103096,0,"","Arnaud Clement","R",173,"FRA",24.42162902,47,785,104053,0,"","Andy Roddick","R",188,"USA",19.72073922,14,1895,"3-6 6-4 6-3",3,"RR",107,1,3,82,40,29,19,14,0,4,11,3,74,40,28,17,14,1,6,"Tarik Benhabiles",0.54,0.7,0.64,11,3,6
"2002-520","Roland Garros","Clay",128,"G",20020527,57,101885,0,"","Wayne Arthurs","L",190,"AUS",31.19233402,91,430,104053,13,"","Andy Roddick","R",188,"USA",19.73990418,14,1895,"4-6 7-6(14) 4-6 7-5 6-3",5,"R128",196,25,10,172,101,78,45,27,6,8,6,7,175,94,71,51,26,8,10,"Tarik Benhabiles",0.54,0.76,0.92,6,7,10
"2002-741","Nottingham","Grass",32,"A",20020617,1,102035,0,"","Jonas Bjorkman","R",183,"SWE",30.23408624,60,660,104053,1,"","Andy Roddick","R",188,"USA",19.79739904,14,1825,"7-5 7-5",3,"R32",90,5,2,75,52,45,7,12,0,0,6,4,70,50,38,10,8,3,5,"Tarik Benhabiles",0.71,0.76,0.75,6,4,5
"2002-540","Wimbledon","Grass",128,"G",20020624,106,102257,23,"","Greg Rusedski","L",193,"GBR",28.79671458,39,920,104053,11,"","Andy Roddick","R",188,"USA",19.816564,14,1825,"6-3 6-4 6-2",5,"R32",85,12,3,80,54,43,19,14,2,2,4,6,77,45,33,14,13,3,7,"Tarik Benhabiles",0.58,0.73,0.69,4,6,7
"2002-423","Los Angeles","Hard",32,"A",20020722,29,102998,0,"","Jan Michael Gambill","R",190,"USA",25.13347023,53,730,104053,4,"","Andy Roddick","R",188,"USA",19.89322382,12,1825,"7-5 6-3",3,"SF",71,12,0,61,39,31,11,11,2,3,6,1,53,36,24,9,10,0,3,"Tarik Benhabiles",0.68,0.67,0.7,6,1,3
"2002-421","Canada Masters","Hard",64,"M",20020729,63,103084,0,"","Guillermo Canas","R",185,"ARG",24.67351129,19,1530,104053,12,"","Andy Roddick","R",188,"USA",19.91238877,12,1825,"6-4 7-5",3,"F",76,9,1,56,36,29,13,11,0,1,9,5,55,37,26,10,11,1,4,"Tarik Benhabiles",0.67,0.7,0.73,9,5,4
"2002-422","Cincinnati Masters","Hard",64,"M",20020805,58,103602,0,"","Fernando Gonzalez","R",183,"CHI",22.01779603,39,866,104053,12,"","Andy Roddick","R",188,"USA",19.93155373,9,2050,"7-6(4) 7-6(6)",3,"QF",114,4,6,82,56,48,9,12,4,6,19,8,102,58,42,20,12,5,7,"Tarik Benhabiles",0.57,0.72,0.83,19,8,7
"2002-418","Washington","Hard",56,"A",20020812,48,101897,16,"","Fernando Meligeni","L",180,"BRA",31.33470226,61,637,104053,2,"","Andy Roddick","R",188,"USA",19.95071869,9,2170,"6-4 6-4",3,"R16",90,1,3,63,37,28,15,10,5,6,3,6,72,32,24,18,10,5,8,"Tarik Benhabiles",0.44,0.75,0.7,3,6,8
"2002-560","US Open","Hard",128,"G",20020826,123,101948,17,"","Pete Sampras","R",185,"USA",31.03901437,17,1560,104053,11,"","Andy Roddick","R",188,"USA",19.9890486,11,1995,"6-3 6-2 6-4",5,"QF",89,13,8,75,34,29,28,14,1,1,8,3,69,47,34,10,13,2,6,"Tarik Benhabiles",0.68,0.72,0.69,8,3,6
"2002-1536","Madrid Masters","Hard",48,"M",20021014,26,104022,0,"","Mikhail Youzhny","R",183,"RUS",20.30390144,44,773,104053,10,"","Andy Roddick","R",188,"USA",20.12320329,13,1995,"6-3 6-4",3,"R32",68,2,1,64,43,36,10,10,1,1,6,2,54,36,28,7,9,4,6,"Tarik Benhabiles",0.67,0.78,0.78,6,2,6
"2002-328","Basel","Carpet",32,"A",20021021,26,103819,3,"","Roger Federer","R",185,"SUI",21.2019165,8,2235,104053,5,"","Andy Roddick","R",188,"USA",20.14236824,12,1925,"7-6(5) 6-1",3,"QF",70,4,1,50,29,23,17,9,0,0,14,0,76,49,39,5,10,4,7,"Tarik Benhabiles",0.64,0.8,0.7,14,0,7
"2002-352","Paris Masters","Carpet",48,"M",20021028,42,103387,0,"","Paradorn Srichaphan","R",185,"THA",23.37303217,21,1478,104053,12,"","Andy Roddick","R",188,"USA",20.1615332,12,1925,"7-6(3) 7-6(3)",3,"QF",84,18,1,69,46,42,16,12,0,0,15,0,75,43,40,15,12,1,1,"Tarik Benhabiles",0.57,0.93,1,15,0,1
"2003-338","Sydney","Hard",32,"A",20030106,18,102703,0,"Q","Hyung Taik Lee","R",180,"KOR",27.00889802,85,463,104053,6,"","Andy Roddick","R",188,"USA",20.35318275,10,2045,"7-6(5) 7-5",3,"R16",161,4,2,82,55,39,15,12,3,5,10,5,89,53,35,18,12,6,9,"Tarik Benhabiles",0.6,0.66,0.75,10,5,9
"2003-580","Australian Open","Hard",128,"G",20030113,125,102783,31,"","Rainer Schuettler","R",180,"GER",26.71868583,36,945,104053,9,"","Andy Roddick","R",188,"USA",20.37234771,10,2045,"7-5 2-6 6-3 6-3",5,"SF",139,6,4,102,54,41,30,19,3,6,11,4,123,76,52,21,19,8,13,"Tarik Benhabiles",0.62,0.68,0.74,11,4,13
"2003-402","Memphis","Hard",32,"A",20030217,31,103758,0,"","Taylor Dent","R",188,"USA",21.81793292,68,597,104053,1,"","Andy Roddick","R",188,"USA",20.46817248,6,2460,"6-1 6-4",3,"F",60,11,4,49,19,17,22,9,3,3,7,3,53,34,23,7,8,1,4,"Tarik Benhabiles",0.64,0.68,0.62,7,3,4
"2003-499","Delray Beach","Hard",32,"A",20030303,1,103888,0,"","Mardy Fish","R",188,"USA",21.229295,66,604,104053,1,"","Andy Roddick","R",188,"USA",20.5065024,6,2370,"7-6(4) 4-3 RET",3,"R32",83,9,2,72,37,30,18,10,6,7,7,2,59,36,33,8,9,3,4,"Tarik Benhabiles",0.61,0.92,0.89,7,2,4
