tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-560,US Open,Hard,128,G,20110829,53,104053,21,,Andy Roddick,R,188,USA,28.99657769,21,1680,103188,0,,Michael Russell,R,173,USA,33.32785763,96,568,6-2 6-4 4-6 7-5,5,R128,177,14,4,118,81,56,22,20,3,6,0,8,113,68,42,24,20,4,10
2011-560,US Open,Hard,128,G,20110829,91,104053,21,,Andy Roddick,R,188,USA,28.99657769,21,1680,106058,0,WC,Jack Sock,R,185,USA,18.92676249,555,47,6-3 6-3 6-4,5,R64,120,11,1,84,60,44,16,14,6,7,9,2,79,46,31,13,14,0,5
2011-560,US Open,Hard,128,G,20110829,110,104053,21,,Andy Roddick,R,188,USA,28.99657769,21,1680,103898,0,WC,Julien Benneteau,R,185,FRA,29.68925394,81,633,6-1 6-4 7-6(5),5,R32,128,21,0,91,60,49,21,15,3,3,17,4,97,60,44,18,14,9,12
2011-560,US Open,Hard,128,G,20110829,119,104053,21,,Andy Roddick,R,188,USA,28.99657769,21,1680,103970,5,,David Ferrer,R,175,ESP,29.4072553,5,4200,6-3 6-4 3-6 6-3,5,R16,160,19,2,112,77,55,24,19,7,9,12,4,104,58,41,26,18,3,7
2011-560,US Open,Hard,128,G,20110829,124,104745,2,,Rafael Nadal,L,185,ESP,25.23750856,2,11420,104053,21,,Andy Roddick,R,188,USA,28.99657769,21,1680,6-2 6-1 6-3,5,QF,113,6,1,67,46,38,12,12,4,4,9,3,68,40,25,9,12,1,7
2011-311,Queen's Club,Grass,56,A,20110606,36,104053,3,,Andy Roddick,R,188,USA,28.76659822,10,2200,103852,0,,Feliciano Lopez,L,188,ESP,29.70841889,41,1065,7-6(2) 6-7(5) 6-4,3,R32,133,15,4,98,73,62,13,17,3,4,35,10,114,78,62,13,17,4,6
2011-311,Queen's Club,Grass,56,A,20110606,46,104053,3,,Andy Roddick,R,188,USA,28.76659822,10,2200,104731,15,,Kevin Anderson,R,203,RSA,25.0513347,39,1185,6-4 6-4,3,R16,79,8,2,62,45,35,9,10,3,3,13,0,54,39,28,9,10,1,3
2011-311,Queen's Club,Grass,56,A,20110606,51,104053,3,,Andy Roddick,R,188,USA,28.76659822,10,2200,104269,7,,Fernando Verdasco,L,188,ESP,27.55646817,23,1425,6-2 6-2,3,QF,65,3,2,50,33,24,11,8,0,0,5,3,52,30,18,9,8,7,11
2011-311,Queen's Club,Grass,56,A,20110606,54,104918,2,,Andy Murray,R,190,GBR,24.06023272,4,6625,104053,3,,Andy Roddick,R,188,USA,28.76659822,10,2200,6-3 6-1,3,SF,59,13,0,41,22,18,14,8,0,0,3,1,46,38,20,4,8,2,6
2011-580,Australian Open,Hard,128,G,20110117,49,104053,8,,Andy Roddick,R,188,USA,28.38329911,8,3565,104225,0,,Jan Hajek,R,180,CZE,27.44695414,96,560,6-1 6-2 6-2,5,R128,100,18,2,74,50,40,13,12,5,5,2,3,74,43,25,11,11,7,13
2011-580,Australian Open,Hard,128,G,20110117,89,104053,8,,Andy Roddick,R,188,USA,28.38329911,8,3565,103857,0,,Igor Kunitsyn,R,180,RUS,29.29774127,99,551,7-6(7) 6-2 6-3,5,R64,124,17,5,82,55,47,20,15,3,3,4,0,91,59,40,19,14,4,7
2011-580,Australian Open,Hard,128,G,20110117,109,104053,8,,Andy Roddick,R,188,USA,28.38329911,8,3565,104898,0,,Robin Haase,R,190,NED,23.78370979,62,823,2-6 7-6(2) 6-2 6-2,5,R32,146,32,3,107,74,58,18,18,3,6,10,5,115,71,49,19,18,4,9
2011-580,Australian Open,Hard,128,G,20110117,119,104527,19,,Stanislas Wawrinka,R,183,SUI,25.80698152,19,1855,104053,8,,Andy Roddick,R,188,USA,28.38329911,8,3565,6-3 6-4 6-4,5,R16,142,24,2,79,39,36,26,15,3,3,9,4,112,70,50,18,14,10,13
2011-422,Cincinnati Masters,Hard,56,M,20110814,4,104259,0,,Philipp Kohlschreiber,R,178,GER,27.83025325,47,910,104053,11,,Andy Roddick,R,188,USA,28.95824778,15,2030,6-7(5) 7-5 6-1,3,R64,135,12,1,103,62,48,25,16,10,11,17,6,83,54,41,16,15,4,8
2011-540,Wimbledon,Grass,128,G,20110620,32,104053,8,,Andy Roddick,R,188,USA,28.80492813,10,2200,104676,0,Q,Andreas Beck,L,190,GER,25.36892539,156,363,6-4 7-6(6) 6-3,5,R128,135,30,1,90,65,55,11,15,1,1,2,1,110,74,46,20,16,4,7
2011-540,Wimbledon,Grass,128,G,20110620,80,104053,8,,Andy Roddick,R,188,USA,28.80492813,10,2200,103812,0,,Victor Hanescu,R,198,ROU,29.9137577,63,805,6-4 6-3 6-4,5,R64,112,15,0,66,43,40,17,14,1,1,8,2,95,65,43,15,15,6,10
2011-540,Wimbledon,Grass,128,G,20110620,104,103852,0,,Feliciano Lopez,L,188,ESP,29.7467488,44,1020,104053,8,,Andy Roddick,R,188,USA,28.80492813,10,2200,7-6(2) 7-6(2) 6-4,5,R32,138,28,3,106,70,57,20,17,3,4,23,6,109,69,54,20,17,4,6
2011-416,Rome Masters,Clay,56,M,20110508,15,104468,0,,Gilles Simon,R,183,FRA,26.36276523,19,1520,104053,12,,Andy Roddick,R,188,USA,28.6899384,12,2280,6-3 6-3,3,R64,82,4,2,51,29,23,12,9,0,1,1,0,57,39,22,8,9,4,8
2011-6242,Winston-Salem,Hard,48,A,20110821,17,104053,1,,Andy Roddick,R,188,USA,28.97741273,21,1680,104273,0,LL,Edouard Roger Vasselin,R,188,FRA,27.73169062,107,521,6-2 6-4,3,R32,73,11,1,50,33,27,12,9,0,0,5,1,53,34,19,12,9,4,7
2011-6242,Winston-Salem,Hard,48,A,20110821,33,104053,1,,Andy Roddick,R,188,USA,28.97741273,21,1680,105053,15,,Santiago Giraldo,R,188,COL,23.73442847,56,835,6-1 6-3,3,R16,67,5,0,40,24,19,13,8,0,0,1,1,53,25,17,10,8,2,6
2011-6242,Winston-Salem,Hard,48,A,20110821,41,104053,1,,Andy Roddick,R,188,USA,28.97741273,21,1680,104338,7,,Juan Monaco,R,185,ARG,27.39767283,36,1170,6-1 6-4,3,QF,67,9,1,45,32,26,10,9,0,0,1,5,55,32,17,14,8,2,5
2011-6242,Winston-Salem,Hard,48,A,20110821,45,104545,4,,John Isner,R,206,USA,26.32169747,28,1340,104053,1,,Andy Roddick,R,188,USA,28.97741273,21,1680,7-6(7) 6-4,3,SF,95,8,1,69,41,35,17,11,1,2,10,2,67,47,42,6,11,1,3
2011-328,Basel,Hard,32,A,20111031,9,104053,7,,Andy Roddick,R,188,USA,29.16906229,15,2120,103163,0,,Tommy Haas,R,188,GER,33.57700205,212,237,6-3 6-4,3,R32,71,12,1,52,35,30,11,10,0,0,4,4,53,30,21,11,9,3,5
2011-328,Basel,Hard,32,A,20111031,21,104053,7,,Andy Roddick,R,188,USA,29.16906229,15,2120,103285,0,,Radek Stepanek,R,185,CZE,32.92539357,25,1400,2-6 6-3 6-3,3,R16,104,10,3,69,46,33,14,13,5,8,8,8,74,37,30,14,13,1,5
2011-328,Basel,Hard,32,A,20111031,27,103819,3,,Roger Federer,R,185,SUI,30.22861054,4,7530,104053,7,,Andy Roddick,R,188,USA,29.16906229,15,2120,6-3 6-2,3,QF,64,5,1,47,25,21,16,9,0,0,3,1,42,15,11,13,8,1,4
2011-403,Miami Masters,Hard,96,M,20110323,48,104655,0,,Pablo Cuevas,R,180,URU,25.21560575,67,735,104053,8,,Andy Roddick,R,188,USA,28.55578371,8,3260,6-4 7-6(4),3,R64,117,15,1,73,44,35,19,11,4,4,9,6,89,49,35,22,11,6,7
2011-402,Memphis,Hard,32,A,20110214,1,104053,1,,Andy Roddick,R,188,USA,28.45995893,8,3325,105575,0,,Ricardas Berankis,R,175,LTU,20.65160849,74,638,4-6 6-2 6-3,3,R32,92,23,4,76,44,38,16,14,1,2,5,5,74,28,21,27,13,3,6
2011-402,Memphis,Hard,32,A,20110214,17,104053,1,,Andy Roddick,R,188,USA,28.45995893,8,3325,104386,0,,Janko Tipsarevic,R,180,SRB,26.64750171,51,935,6-1 7-6(8),3,R16,91,14,4,61,39,31,12,10,0,1,5,3,66,35,24,15,9,3,6
2011-402,Memphis,Hard,32,A,20110214,25,104053,1,,Andy Roddick,R,188,USA,28.45995893,8,3325,103720,0,,Lleyton Hewitt,R,180,AUS,29.97125257,70,700,4-6 6-3 6-4,3,QF,133,21,6,98,58,46,20,15,3,4,11,6,106,53,40,25,14,9,11
2011-402,Memphis,Hard,32,A,20110214,29,104053,1,,Andy Roddick,R,188,USA,28.45995893,8,3325,105223,0,WC,Juan Martin Del Potro,R,198,ARG,22.39288159,298,155,6-3 6-4,3,SF,95,13,1,56,35,30,10,10,1,2,8,0,69,36,22,18,9,7,10
2011-402,Memphis,Hard,32,A,20110214,31,104053,1,,Andy Roddick,R,188,USA,28.45995893,8,3325,105683,0,WC,Milos Raonic,R,196,CAN,20.13415469,59,837,7-6(7) 6-7(11) 7-5,3,F,157,20,4,113,67,54,31,18,6,8,32,3,123,74,61,26,18,7,10
2011-404,Indian Wells Masters,Hard,96,M,20110310,49,104053,8,,Andy Roddick,R,188,USA,28.5174538,8,3770,103484,0,WC,James Blake,R,185,USA,31.18959617,158,355,6-3 7-5,3,R64,90,13,0,57,32,30,14,11,4,5,4,5,86,44,23,24,10,12,15
2011-404,Indian Wells Masters,Hard,96,M,20110310,73,104053,8,,Andy Roddick,R,188,USA,28.5174538,8,3770,104545,30,,John Isner,R,206,USA,25.86173854,33,1255,7-5 6-2,3,R32,68,9,0,47,32,26,14,10,0,0,15,2,54,38,29,5,10,0,3
