tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-311,Queen's Club,Grass,56,A,20120611,32,104273,0,,Edouard Roger Vasselin,R,188,FRA,28.53661875,67,669,104053,7,,Andy Roddick,R,188,USA,29.78234086,32,1190,6-4 4-6 7-5,3,R32,121,13,2,98,63,49,20,16,4,5,22,2,82,65,50,10,16,3,5
2012-424,San Jose,Hard,28,A,20120213,20,104053,2,,Andy Roddick,R,188,USA,29.45653662,17,1745,106045,0,Q,Denis Kudla,R,180,USA,19.49075975,203,237,6-7(5) 7-6(5) 6-4,3,R16,162,14,3,131,89,66,23,17,12,13,7,2,126,75,60,26,17,8,10
2012-424,San Jose,Hard,28,A,20120213,24,104797,0,,Denis Istomin,R,188,UZB,25.43463381,61,767,104053,2,,Andy Roddick,R,188,USA,29.45653662,17,1745,6-2 6-4,3,QF,77,6,0,48,32,25,13,9,1,1,5,0,68,42,28,10,9,6,9
2012-422,Cincinnati Masters,Hard,56,M,20120812,16,104871,0,LL,Jeremy Chardy,R,188,FRA,25.50034223,38,1004,104053,16,,Andy Roddick,R,188,USA,29.95482546,21,1645,7-6(4) 6-3,3,R64,94,7,0,62,32,28,19,10,1,1,7,4,75,46,34,11,11,4,6
2012-499,Delray Beach,Hard,32,A,20120227,5,104053,4,,Andy Roddick,R,188,USA,29.49486653,30,1290,104332,0,,Philipp Petzschner,R,185,GER,27.92881588,61,766,4-6 6-4 6-1,3,R32,99,9,4,76,44,35,18,14,5,7,5,7,83,51,36,11,13,7,11
2012-499,Delray Beach,Hard,32,A,20120227,19,104053,4,,Andy Roddick,R,188,USA,29.49486653,30,1290,104797,0,,Denis Istomin,R,188,UZB,25.47296372,51,907,6-4 7-5,3,R16,88,6,2,68,34,25,22,11,4,5,7,1,61,35,27,12,11,0,3
2012-499,Delray Beach,Hard,32,A,20120227,26,104731,7,,Kevin Anderson,R,203,RSA,25.77960301,36,1065,104053,4,,Andy Roddick,R,188,USA,29.49486653,30,1290,2-6 7-6(9) 6-4,3,QF,153,11,5,93,44,34,29,15,2,5,8,4,110,72,51,19,15,7,9
2012-402,Memphis,Hard,32,A,20120220,16,103598,0,,Xavier Malisse,R,185,BEL,31.58932238,75,680,104053,2,,Andy Roddick,R,188,USA,29.47570157,27,1290,7-6(8) 7-5,3,R32,108,12,4,83,40,34,24,12,6,7,6,1,77,51,38,12,12,3,5
2012-540,Wimbledon,Grass,128,G,20120625,36,104053,30,,Andy Roddick,R,188,USA,29.82067077,25,1395,104779,0,WC,Jamie Baker,R,0,GBR,25.88911704,186,275,7-6(1) 6-4 7-5,5,R128,181,14,1,130,97,70,17,17,5,5,6,2,107,67,49,20,17,7,9
2012-540,Wimbledon,Grass,128,G,20120625,82,104053,30,,Andy Roddick,R,188,USA,29.82067077,25,1395,103451,0,,Bjorn Phau,R,175,GER,32.72553046,88,595,6-3 7-6(1) 6-3,5,R64,122,13,3,85,62,53,14,16,1,2,11,6,84,45,36,17,14,3,6
