tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-424,San Jose,Hard,28,A,20120213,20,104053,2,,Andy Roddick,R,188,USA,29.45653662,17,1745,106045,0,Q,Denis Kudla,R,180,USA,19.49075975,203,237,6-7(5) 7-6(5) 6-4,3,R16,162,14,3,131,89,66,23,17,12,13,7,2,126,75,60,26,17,8,10
2012-499,Delray Beach,Hard,32,A,20120227,5,104053,4,,Andy Roddick,R,188,USA,29.49486653,30,1290,104332,0,,Philipp Petzschner,R,185,GER,27.92881588,61,766,4-6 6-4 6-1,3,R32,99,9,4,76,44,35,18,14,5,7,5,7,83,51,36,11,13,7,11
2012-499,Delray Beach,Hard,32,A,20120227,19,104053,4,,Andy Roddick,R,188,USA,29.49486653,30,1290,104797,0,,Denis Istomin,R,188,UZB,25.47296372,51,907,6-4 7-5,3,R16,88,6,2,68,34,25,22,11,4,5,7,1,61,35,27,12,11,0,3
2012-540,Wimbledon,Grass,128,G,20120625,36,104053,30,,Andy Roddick,R,188,USA,29.82067077,25,1395,104779,0,WC,Jamie Baker,R,0,GBR,25.88911704,186,275,7-6(1) 6-4 7-5,5,R128,181,14,1,130,97,70,17,17,5,5,6,2,107,67,49,20,17,7,9
2012-540,Wimbledon,Grass,128,G,20120625,82,104053,30,,Andy Roddick,R,188,USA,29.82067077,25,1395,103451,0,,Bjorn Phau,R,175,GER,32.72553046,88,595,6-3 7-6(1) 6-3,5,R64,122,13,3,85,62,53,14,16,1,2,11,6,84,45,36,17,14,3,6
2012-403,Miami Masters,Hard,96,M,20120321,42,104053,31,,Andy Roddick,R,188,USA,29.5523614,34,1165,104180,0,,Gilles Muller,L,193,LUX,28.862423,63,760,6-3 6-2,3,R64,74,10,1,45,31,26,10,9,0,0,4,6,63,39,27,6,8,7,10
2012-403,Miami Masters,Hard,96,M,20120321,69,104053,31,,Andy Roddick,R,188,USA,29.5523614,34,1165,103819,3,,Roger Federer,R,185,SUI,30.61190965,3,9350,7-6(4) 1-6 6-4,3,R32,121,12,2,94,65,48,15,15,7,10,11,1,75,44,37,19,14,1,2
2012-96,London Olympics,Grass,64,A,20120725,31,104053,0,,Andy Roddick,R,188,USA,29.8973306,22,1600,105373,0,,Martin Klizan,L,190,SVK,23.03353867,62,773,7-5 6-4,3,R64,99,5,0,53,42,38,6,11,0,0,2,2,90,56,35,19,11,11,13
2012-6242,Winston-Salem,Hard,48,A,20120819,29,104053,5,,Andy Roddick,R,188,USA,29.97399042,21,1645,103484,0,WC,James Blake,R,185,USA,32.64613279,115,482,7-6(6) 7-6(6),3,R32,99,11,1,78,49,41,16,12,2,3,7,2,79,44,33,24,12,4,5
2012-6116,Atlanta,Hard,28,A,20120716,15,104053,4,,Andy Roddick,R,188,USA,29.87816564,27,1395,103917,0,,Nicolas Mahut,R,190,FRA,30.48323066,66,719,7-6(4) 6-3,3,R16,98,10,1,75,50,38,14,11,4,5,15,1,63,38,31,11,10,2,4
2012-6116,Atlanta,Hard,28,A,20120716,22,104053,4,,Andy Roddick,R,188,USA,29.87816564,27,1395,103188,0,,Michael Russell,R,173,USA,34.20944559,96,565,6-3 6-4,3,QF,73,12,1,51,37,32,10,10,1,1,8,1,44,26,20,11,9,2,4
2012-6116,Atlanta,Hard,28,A,20120716,25,104053,4,,Andy Roddick,R,188,USA,29.87816564,27,1395,104545,1,,John Isner,R,206,USA,27.22245038,11,2620,6-4 6-7(5) 6-4,3,SF,148,7,1,92,60,53,19,16,2,2,26,0,99,63,51,19,16,5,7
2012-6116,Atlanta,Hard,28,A,20120716,27,104053,4,,Andy Roddick,R,188,USA,29.87816564,27,1395,104180,0,,Gilles Muller,L,193,LUX,29.18822724,63,746,1-6 7-6(2) 6-2,3,F,134,18,4,86,52,39,19,13,1,3,20,10,84,48,42,15,14,4,6
2012-580,Australian Open,Hard,128,G,20120116,8,104053,15,,Andy Roddick,R,188,USA,29.3798768,16,1880,104898,0,,Robin Haase,R,190,NED,24.78028747,53,861,6-3 6-4 6-1,5,R128,103,13,1,78,56,41,14,13,4,5,7,6,76,40,27,13,13,7,13
2012-741,Eastbourne,Grass,28,A,20120618,6,104053,6,,Andy Roddick,R,188,USA,29.80150582,33,1190,105023,0,,Sam Querrey,R,198,USA,24.69815195,63,705,5-2 RET,3,R32,25,5,1,15,11,9,3,3,0,0,2,1,30,21,13,2,4,3,5
