tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2010-540,Wimbledon,Grass,128,G,20100621,116,104229,0,,Yen Hsun Lu,R,180,TPE,26.85284052,82,626,104053,5,,Andy Roddick,R,188,USA,27.80835044,7,4510,4-6 7-6(3) 7-6(4) 6-7(5) 9-7,5,R16,276,22,4,206,124,101,45,31,7,8,38,8,189,129,108,31,31,1,2
2010-560,US Open,Hard,128,G,20100830,84,104386,0,,Janko Tipsarevic,R,180,SRB,26.18754278,44,1020,104053,9,,Andy Roddick,R,188,USA,28,9,3225,3-6 7-5 6-3 7-6(4),5,R64,198,16,1,123,72,58,32,21,3,5,18,3,119,78,61,22,21,8,11
2010-6116,Atlanta,Hard,28,A,20100719,25,103888,6,,Mardy Fish,R,188,USA,28.60780287,49,901,104053,1,,Andy Roddick,R,188,USA,27.88501027,9,3490,7-6(5) 6-3,3,SF,102,9,3,70,28,27,22,11,3,3,8,2,59,37,27,13,10,0,1
2010-5014,Shanghai Masters,Hard,56,M,20101010,38,104198,0,,Guillermo Garcia Lopez,R,188,ESP,27.35386721,35,1175,104053,10,,Andy Roddick,R,188,USA,28.11498973,11,3225,3-6 3-2 RET,3,R32,57,4,5,46,26,21,6,7,6,8,7,0,35,27,19,7,7,0,1
2010-580,Australian Open,Hard,128,G,20100118,123,105227,14,,Marin Cilic,R,198,CRO,21.30595483,14,2430,104053,7,,Andy Roddick,R,188,USA,27.38672142,7,4510,7-6(4) 6-3 3-6 2-6 6-3,5,QF,230,20,6,155,77,58,36,24,10,16,15,1,141,90,62,26,23,8,13
2010-352,Paris Masters,Hard,48,M,20101107,43,104417,4,,Robin Soderling,R,193,SWE,26.23408624,5,4960,104053,8,,Andy Roddick,R,188,USA,28.19164956,8,3485,7-5 6-4,3,QF,87,18,3,64,38,34,15,11,2,2,15,2,75,53,39,8,11,6,8
2010-422,Cincinnati Masters,Hard,56,M,20100815,54,103888,0,WC,Mardy Fish,R,188,USA,28.6844627,36,1151,104053,9,,Andy Roddick,R,188,USA,27.96167009,13,2875,4-6 7-6(3) 6-1,3,SF,136,17,6,93,43,39,25,15,2,4,11,4,101,61,41,19,14,5,8
2010-424,San Jose,Hard,32,A,20100208,31,104269,2,,Fernando Verdasco,L,188,ESP,26.23408624,11,2760,104053,1,,Andy Roddick,R,188,USA,27.44421629,7,4150,3-6 6-4 6-4,3,F,131,15,7,98,60,46,18,15,8,10,10,2,92,64,53,8,14,9,11
2010-329,Tokyo,Hard,32,A,20101004,28,104792,5,,Gael Monfils,R,193,FRA,24.09034908,15,2160,104053,2,,Andy Roddick,R,188,USA,28.09582478,10,3180,7-6(5) 4-6 7-6(6),3,QF,176,16,0,108,72,59,22,17,2,3,8,0,130,86,67,23,17,10,10
2010-328,Basel,Hard,32,A,20101101,29,103819,1,,Roger Federer,R,185,SUI,29.23203285,2,7495,104053,4,,Andy Roddick,R,188,USA,28.1724846,9,3260,6-2 6-4,3,SF,70,13,1,53,31,29,9,9,4,5,4,4,54,34,24,7,9,4,8
