"","winner","opponent_rank","aces","double_faults","surface","first_srv_pctg","minutes"
"118","Andy Roddick",50,12,4,0.71,0.62,74
"119","Andy Roddick",101,17,0,0.76,0.65,129
"120","Andy Roddick",102,8,1,0.76,0.55,62
"121","Andy Roddick",68,12,3,0.76,0.67,59
"122","Andy Roddick",12,5,2,0.76,0.47,63
"123","Andy Roddick",11,15,3,0.76,0.52,83
"124","Andy Roddick",205,12,2,0.76,0.59,74
"125","Andy Roddick",68,12,1,0.76,0.7,72
"126","Andy Roddick",40,13,0,0.76,0.73,50
"127","Andy Roddick",76,8,2,0.71,0.54,87
"128","Andy Roddick",21,13,2,0.71,0.59,62
"129","Andy Roddick",41,19,2,0.71,0.6,86
"130","Andy Roddick",195,11,1,0.8,0.58,52
"131","Andy Roddick",69,11,3,0.8,0.59,91
"132","Andy Roddick",44,2,3,0.8,0.66,76
"133","Andy Roddick",2,27,2,0.8,0.64,117
"134","Andy Roddick",20,10,1,0.8,0.7,60
"135","Andy Roddick",91,15,2,0.8,0.67,80
"136","Andy Roddick",51,14,4,0.8,0.66,123
"137","Andy Roddick",21,9,3,0.8,0.73,114
"138","Andy Roddick",11,14,2,0.8,0.63,114
"139","Andy Roddick",79,14,1,0.8,0.71,92
"140","Andy Roddick",116,11,1,0.76,0.78,53
"141","Andy Roddick",62,25,3,0.76,0.68,122
"142","Andy Roddick",87,13,1,0.76,0.65,70
"143","Andy Roddick",97,14,1,0.76,0.65,56
"144","Andy Roddick",24,21,3,0.76,0.59,121
"145","Andy Roddick",69,15,0,0.76,0.62,68
"146","Andy Roddick",63,7,3,0.76,0.62,54
"147","Andy Roddick",11,10,4,0.76,0.62,141
"148","Andy Roddick",62,5,2,0.76,0.5,90
"149","Andy Roddick",36,4,2,0.76,0.57,90
"150","Andy Roddick",10,10,4,0.76,0.56,75
"151","Andy Roddick",41,7,1,0.76,0.69,94
"152","Andy Roddick",3,9,2,0.76,0.48,116
"153","Andy Roddick",21,6,1,0.76,0.62,63
"154","Andy Roddick",116,6,2,0.64,0.66,51
