tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2004-424,San Jose,Hard,32,A,20040209,1,104053,1,,Andy Roddick,R,188,USA,21.44558522,3,4335,103294,0,,Christophe Rochus,R,170,BEL,25.15263518,109,364,6-4 6-2,3,R32,60,16,3,53,32,27,9,9,2,3,4,1,53,33,15,13,9,2,6
2004-424,San Jose,Hard,32,A,20040209,17,104053,1,,Andy Roddick,R,188,USA,21.44558522,3,4335,104019,0,,Kristof Vliegen,R,193,BEL,21.63449692,158,242,6-2 6-3,3,R16,51,9,0,39,30,29,7,9,0,0,2,2,50,22,15,13,8,5,8
2004-424,San Jose,Hard,32,A,20040209,25,104053,1,,Andy Roddick,R,188,USA,21.44558522,3,4335,104026,0,,Joachim Johansson,R,198,SWE,21.60985626,77,469,6-3 7-6(7),3,QF,66,27,1,74,53,45,9,11,1,1,15,3,59,37,28,17,10,2,3
2004-424,San Jose,Hard,32,A,20040209,29,104053,1,,Andy Roddick,R,188,USA,21.44558522,3,4335,103470,0,WC,Robert Kendrick,R,190,USA,24.23545517,139,270,7-6(3) 6-2,3,SF,72,11,2,53,37,36,9,10,0,0,7,4,73,45,33,11,10,3,5
2004-424,San Jose,Hard,32,A,20040209,31,104053,1,,Andy Roddick,R,188,USA,21.44558522,3,4335,103888,3,,Mardy Fish,R,188,USA,22.16837782,21,1225,7-6(13) 6-4,3,F,96,16,1,69,49,42,15,11,0,0,17,2,80,46,37,19,11,4,5
2004-422,Cincinnati Masters,Hard,64,M,20040802,32,104053,2,,Andy Roddick,R,188,USA,21.9247091,2,5185,103018,0,,Max Mirnyi,R,196,BLR,27.07460643,33,925,6-7(5) 7-6(5) 6-3,3,R64,138,22,1,101,66,57,18,16,2,2,21,7,117,72,57,21,17,7,9
2004-422,Cincinnati Masters,Hard,64,M,20040802,48,104053,2,,Andy Roddick,R,188,USA,21.9247091,2,5185,103017,0,,Nicolas Kiefer,R,183,GER,27.07734428,18,1250,6-4 6-4,3,R32,80,11,2,69,42,33,14,10,5,5,8,3,53,28,23,13,10,0,2
2004-422,Cincinnati Masters,Hard,64,M,20040802,56,104053,2,,Andy Roddick,R,188,USA,21.9247091,2,5185,103387,15,,Paradorn Srichaphan,R,185,THA,25.13620808,15,1360,6-2 6-3,3,R16,54,12,1,41,27,24,12,9,0,0,3,0,53,32,20,10,8,7,10
2004-422,Cincinnati Masters,Hard,64,M,20040802,60,104053,2,,Andy Roddick,R,188,USA,21.9247091,2,5185,103163,0,WC,Tommy Haas,R,188,GER,26.33264887,67,630,6-3 6-3,3,QF,67,11,3,52,32,24,10,9,2,3,2,2,57,39,24,6,9,3,7
2004-421,Canada Masters,Hard,64,M,20040726,32,104053,2,,Andy Roddick,R,188,USA,21.90554415,2,4945,103898,0,Q,Julien Benneteau,R,185,FRA,22.5982204,76,551,6-4 6-2,3,R64,76,4,3,53,32,28,10,9,3,4,4,5,55,29,19,9,9,0,4
