tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-560,US Open,Hard,128,G,20110829,124,104745,2,,Rafael Nadal,L,185,ESP,25.23750856,2,11420,104053,21,,Andy Roddick,R,188,USA,28.99657769,21,1680,6-2 6-1 6-3,5,QF,113,6,1,67,46,38,12,12,4,4,9,3,68,40,25,9,12,1,7
2011-311,Queen's Club,Grass,56,A,20110606,54,104918,2,,Andy Murray,R,190,GBR,24.06023272,4,6625,104053,3,,Andy Roddick,R,188,USA,28.76659822,10,2200,6-3 6-1,3,SF,59,13,0,41,22,18,14,8,0,0,3,1,46,38,20,4,8,2,6
2011-580,Australian Open,Hard,128,G,20110117,119,104527,19,,Stanislas Wawrinka,R,183,SUI,25.80698152,19,1855,104053,8,,Andy Roddick,R,188,USA,28.38329911,8,3565,6-3 6-4 6-4,5,R16,142,24,2,79,39,36,26,15,3,3,9,4,112,70,50,18,14,10,13
2011-422,Cincinnati Masters,Hard,56,M,20110814,4,104259,0,,Philipp Kohlschreiber,R,178,GER,27.83025325,47,910,104053,11,,Andy Roddick,R,188,USA,28.95824778,15,2030,6-7(5) 7-5 6-1,3,R64,135,12,1,103,62,48,25,16,10,11,17,6,83,54,41,16,15,4,8
2011-540,Wimbledon,Grass,128,G,20110620,104,103852,0,,Feliciano Lopez,L,188,ESP,29.7467488,44,1020,104053,8,,Andy Roddick,R,188,USA,28.80492813,10,2200,7-6(2) 7-6(2) 6-4,5,R32,138,28,3,106,70,57,20,17,3,4,23,6,109,69,54,20,17,4,6
2011-416,Rome Masters,Clay,56,M,20110508,15,104468,0,,Gilles Simon,R,183,FRA,26.36276523,19,1520,104053,12,,Andy Roddick,R,188,USA,28.6899384,12,2280,6-3 6-3,3,R64,82,4,2,51,29,23,12,9,0,1,1,0,57,39,22,8,9,4,8
2011-6242,Winston-Salem,Hard,48,A,20110821,45,104545,4,,John Isner,R,206,USA,26.32169747,28,1340,104053,1,,Andy Roddick,R,188,USA,28.97741273,21,1680,7-6(7) 6-4,3,SF,95,8,1,69,41,35,17,11,1,2,10,2,67,47,42,6,11,1,3
2011-328,Basel,Hard,32,A,20111031,27,103819,3,,Roger Federer,R,185,SUI,30.22861054,4,7530,104053,7,,Andy Roddick,R,188,USA,29.16906229,15,2120,6-3 6-2,3,QF,64,5,1,47,25,21,16,9,0,0,3,1,42,15,11,13,8,1,4
2011-403,Miami Masters,Hard,96,M,20110323,48,104655,0,,Pablo Cuevas,R,180,URU,25.21560575,67,735,104053,8,,Andy Roddick,R,188,USA,28.55578371,8,3260,6-4 7-6(4),3,R64,117,15,1,73,44,35,19,11,4,4,9,6,89,49,35,22,11,6,7
2011-404,Indian Wells Masters,Hard,96,M,20110310,85,104755,18,,Richard Gasquet,R,185,FRA,24.71731691,21,1495,104053,8,,Andy Roddick,R,188,USA,28.5174538,8,3770,6-3 7-6(5),3,R16,106,8,2,69,44,34,15,11,4,5,7,1,77,49,33,15,10,5,7
2011-339,Brisbane,Hard,32,A,20110102,31,104417,1,,Robin Soderling,R,193,SWE,26.38740589,5,5580,104053,2,,Andy Roddick,R,188,USA,28.3449692,8,3665,6-3 7-5,3,F,95,16,2,54,39,35,9,11,0,0,12,1,67,44,33,9,10,8,10
2011-1536,Madrid Masters,Clay,56,M,20110501,4,104262,0,Q,Flavio Cipolla,R,173,ITA,27.53182752,160,374,104053,12,,Andy Roddick,R,188,USA,28.67077344,12,2290,6-4 6-7(7) 6-3,3,R64,183,3,3,114,78,51,23,16,8,10,5,2,113,77,49,20,15,6,10
2011-747,Beijing,Hard,32,A,20111003,13,104731,0,,Kevin Anderson,R,203,RSA,25.37713895,31,1200,104053,6,,Andy Roddick,R,188,USA,29.09240246,15,1995,6-4 7-5,3,R32,102,8,1,62,39,32,11,11,4,6,5,1,64,46,30,7,11,6,10
2011-5014,Shanghai Masters,Hard,56,M,20111009,50,103970,3,,David Ferrer,R,175,ESP,29.52224504,5,4200,104053,10,,Andy Roddick,R,188,USA,29.11156742,15,1985,6-7(5) 6-2 7-6(2),3,QF,154,11,5,114,69,56,26,16,5,5,11,2,105,63,49,21,16,2,4
2011-352,Paris Masters,Hard,48,M,20111107,44,104918,2,,Andy Murray,R,190,GBR,24.48186174,3,7780,104053,13,,Andy Roddick,R,188,USA,29.18822724,15,2030,6-2 6-2,3,R16,62,7,2,42,24,20,12,8,0,0,1,0,41,25,14,6,8,2,6
2011-D040,Davis Cup WG QF: USA vs ESP,Hard,4,D,20110708,2,103970,0,,David Ferrer,R,175,ESP,29.25393566,6,4150,104053,0,,Andy Roddick,R,188,USA,28.84325804,10,2110,7-6(9) 7-5 6-3,5,RR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
