"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"32","2001-520","Roland Garros","Clay",128,"G",20010528,104,103720,6,"","Lleyton Hewitt","R",180,"AUS",20.25462012,6,2615,104053,0,"","Andy Roddick","R",188,"USA",18.74332649,48,808,"6-7(6) 6-4 2-2 RET",5,"R32",138,15,3,101,61,41,23,13,5,6,0,5,92,52,40,17,13,14,16,"Tarik Benhabiles",0.57,0.77,0.85,0,5,16
"480","2007-306","Poertschach","Clay",32,"A",20070520,28,104792,0,"WC","Gael Monfils","R",193,"FRA",20.71731691,75,537,104053,2,"","Andy Roddick","R",188,"USA",24.72279261,3,2930,"7-5 6-3",3,"QF",164,7,4,68,31,25,21,11,5,6,0,3,55,25,18,17,10,1,4,"Jimmy Connors",0.45,0.72,0.7,0,3,4
"547","2008-416","Rome Masters","Clay",56,"M",20080505,54,104527,0,"","Stanislas Wawrinka","R",183,"SUI",23.10472279,24,1200,104053,6,"","Andy Roddick","R",188,"USA",25.68104038,6,2260,"3-0 RET",3,"SF",29,1,1,12,7,5,3,2,0,0,0,1,5,2,0,0,1,0,1,"John Roddick",0.4,0,0,0,1,1
"780","2012-615","Dusseldorf","Clay",64,"A",20120521,26,104607,0,"","Tomas Berdych","R",196,"CZE",26.67488022,7,4500,104053,0,"","Andy Roddick","R",188,"USA",29.724846,29,1225,"6-1 6-2",3,"RR",61,12,2,42,23,23,10,8,0,0,0,0,41,18,7,12,7,1,5,"Larry Stefanki",0.44,0.39,0.43,0,0,5
